date;activity
25-Feb-2008 00:19:32;brush teeth start
25-Feb-2008 00:21:24;brush teeth end
25-Feb-2008 00:22:46;go to bed start
25-Feb-2008 09:34:12;go to bed end
25-Feb-2008 09:37:17;use toilet start
25-Feb-2008 09:38:02;use toilet end
25-Feb-2008 09:49:23;prepare Breakfast start
25-Feb-2008 09:53:28;prepare Breakfast end
25-Feb-2008 10:02:28;take shower start
25-Feb-2008 10:12:42;take shower end
25-Feb-2008 10:19:06;leave house start
25-Feb-2008 16:55:38;leave house end
25-Feb-2008 17:00:31;use toilet start
25-Feb-2008 17:01:34;use toilet end
25-Feb-2008 17:54:55;get drink start
25-Feb-2008 17:55:58;get drink end
25-Feb-2008 18:31:54;use toilet start
25-Feb-2008 18:33:38;use toilet end
25-Feb-2008 19:40:26;prepare Dinner start
25-Feb-2008 20:22:58;prepare Dinner end
25-Feb-2008 20:23:12;get drink start
25-Feb-2008 20:23:35;get drink end
25-Feb-2008 21:51:29;use toilet start
25-Feb-2008 21:52:36;use toilet end
25-Feb-2008 23:21:15;go to bed start
26-Feb-2008 09:15:30;go to bed end
25-Feb-2008 23:22:38;brush teeth start
25-Feb-2008 23:24:38;brush teeth end
25-Feb-2008 23:28:30;use toilet start
25-Feb-2008 23:29:14;use toilet end
26-Feb-2008 00:39:24;use toilet start
26-Feb-2008 00:39:40;use toilet end
26-Feb-2008 03:13:40;use toilet start
26-Feb-2008 03:14:41;use toilet end
26-Feb-2008 08:35:59;use toilet start
26-Feb-2008 08:36:38;use toilet end
26-Feb-2008 09:15:40;use toilet start
26-Feb-2008 09:19:00;use toilet end
26-Feb-2008 09:26:42;prepare Breakfast start
26-Feb-2008 09:29:09;prepare Breakfast end
26-Feb-2008 09:48:07;take shower start
26-Feb-2008 09:58:56;take shower end
26-Feb-2008 10:05:59;leave house start
26-Feb-2008 20:34:20;leave house end
26-Feb-2008 21:02:34;use toilet start
26-Feb-2008 21:04:02;use toilet end
26-Feb-2008 21:39:23;get drink start
26-Feb-2008 21:40:12;get drink end
26-Feb-2008 22:56:00;use toilet start
26-Feb-2008 22:58:51;use toilet end
26-Feb-2008 22:59:37;brush teeth start
26-Feb-2008 23:00:34;brush teeth end
26-Feb-2008 23:01:33;go to bed start
27-Feb-2008 08:00:48;go to bed end
27-Feb-2008 05:29:11;use toilet start
27-Feb-2008 05:30:26;use toilet end
27-Feb-2008 08:01:22;prepare Breakfast start
27-Feb-2008 08:02:58;prepare Breakfast end
27-Feb-2008 08:13:55;use toilet start
27-Feb-2008 08:16:07;use toilet end
27-Feb-2008 08:16:45;take shower start
27-Feb-2008 08:27:20;take shower end
27-Feb-2008 08:34:25;leave house start
27-Feb-2008 18:59:03;leave house end
27-Feb-2008 18:59:55;prepare Dinner start
27-Feb-2008 19:19:08;prepare Dinner end
27-Feb-2008 19:19:52;get drink start
27-Feb-2008 19:20:11;get drink end
27-Feb-2008 23:03:23;use toilet start
27-Feb-2008 23:05:40;use toilet end
28-Feb-2008 00:08:58;brush teeth start
28-Feb-2008 00:10:45;brush teeth end
28-Feb-2008 00:11:06;use toilet start
28-Feb-2008 00:13:59;use toilet end
28-Feb-2008 00:16:16;go to bed start
28-Feb-2008 09:48:34;go to bed end
28-Feb-2008 07:06:27;use toilet start
28-Feb-2008 07:07:25;use toilet end
28-Feb-2008 09:48:55;use toilet start
28-Feb-2008 09:49:33;use toilet end
28-Feb-2008 09:49:59;prepare Breakfast start
28-Feb-2008 09:51:47;prepare Breakfast end
28-Feb-2008 10:35:25;use toilet start
28-Feb-2008 10:37:50;use toilet end
28-Feb-2008 10:38:00;take shower start
28-Feb-2008 10:49:22;take shower end
28-Feb-2008 10:58:02;leave house start
28-Feb-2008 18:34:57;leave house end
28-Feb-2008 18:48:01;use toilet start
28-Feb-2008 18:48:52;use toilet end
28-Feb-2008 18:49:19;brush teeth start
28-Feb-2008 18:51:28;brush teeth end
28-Feb-2008 18:53:27;leave house start
28-Feb-2008 21:35:30;leave house end
28-Feb-2008 21:40:40;use toilet start
28-Feb-2008 21:42:22;use toilet end
28-Feb-2008 23:21:41;brush teeth start
28-Feb-2008 23:23:18;brush teeth end
28-Feb-2008 23:23:35;use toilet start
28-Feb-2008 23:24:26;use toilet end
28-Feb-2008 23:24:41;go to bed start
29-Feb-2008 10:20:48;go to bed end
29-Feb-2008 08:03:13;use toilet start
29-Feb-2008 08:04:23;use toilet end
29-Feb-2008 10:22:47;prepare Breakfast start
29-Feb-2008 10:26:49;prepare Breakfast end
29-Feb-2008 10:30:02;use toilet start
29-Feb-2008 10:30:37;use toilet end
29-Feb-2008 10:30:56;take shower start
29-Feb-2008 10:40:45;take shower end
29-Feb-2008 10:48:43;leave house start
29-Feb-2008 18:18:34;leave house end
29-Feb-2008 18:41:13;leave house start
29-Feb-2008 19:21:59;leave house end
29-Feb-2008 19:24:05;use toilet start
29-Feb-2008 19:25:06;use toilet end
29-Feb-2008 19:44:50;prepare Dinner start
29-Feb-2008 20:59:56;prepare Dinner end
29-Feb-2008 22:03:07;leave house start
02-Mar-2008 19:37:57;leave house end
02-Mar-2008 20:35:54;brush teeth start
02-Mar-2008 20:37:03;brush teeth end
02-Mar-2008 20:37:06;use toilet start
02-Mar-2008 20:37:42;use toilet end
02-Mar-2008 21:57:57;use toilet start
02-Mar-2008 22:03:12;use toilet end
02-Mar-2008 22:03:52;go to bed start
03-Mar-2008 08:50:00;go to bed end
03-Mar-2008 08:50:25;use toilet start
03-Mar-2008 08:52:13;use toilet end
03-Mar-2008 09:01:33;prepare Breakfast start
03-Mar-2008 09:03:18;prepare Breakfast end
03-Mar-2008 09:17:14;take shower start
03-Mar-2008 09:32:32;take shower end
03-Mar-2008 09:44:52;leave house start
04-Mar-2008 09:08:03;leave house end
04-Mar-2008 09:08:26;brush teeth start
04-Mar-2008 09:10:01;brush teeth end
04-Mar-2008 09:10:38;use toilet start
04-Mar-2008 09:11:33;use toilet end
04-Mar-2008 09:15:44;leave house start
04-Mar-2008 18:20:13;leave house end
04-Mar-2008 18:20:30;use toilet start
04-Mar-2008 18:23:28;use toilet end
04-Mar-2008 18:28:05;brush teeth start
04-Mar-2008 18:29:11;brush teeth end
04-Mar-2008 18:30:26;leave house start
04-Mar-2008 23:43:46;leave house end
04-Mar-2008 23:44:22;use toilet start
04-Mar-2008 23:45:21;use toilet end
04-Mar-2008 23:52:12;get drink start
04-Mar-2008 23:52:48;get drink end
05-Mar-2008 00:01:19;use toilet start
05-Mar-2008 00:04:45;use toilet end
05-Mar-2008 00:18:02;brush teeth start
05-Mar-2008 00:19:55;brush teeth end
05-Mar-2008 00:20:27;use toilet start
05-Mar-2008 00:21:33;use toilet end
05-Mar-2008 00:21:43;go to bed start
05-Mar-2008 09:28:28;go to bed end
05-Mar-2008 06:00:13;use toilet start
05-Mar-2008 06:01:08;use toilet end
05-Mar-2008 09:28:50;use toilet start
05-Mar-2008 09:29:38;use toilet end
05-Mar-2008 09:29:55;prepare Breakfast start
05-Mar-2008 09:31:31;prepare Breakfast end
05-Mar-2008 09:45:37;take shower start
05-Mar-2008 09:53:47;take shower end
05-Mar-2008 10:11:38;leave house start
05-Mar-2008 19:48:48;leave house end
05-Mar-2008 19:51:29;prepare Dinner start
05-Mar-2008 20:27:00;prepare Dinner end
05-Mar-2008 20:13:15;use toilet start
05-Mar-2008 20:14:36;use toilet end
05-Mar-2008 23:07:02;use toilet start
05-Mar-2008 23:08:21;use toilet end
05-Mar-2008 23:30:36;brush teeth start
05-Mar-2008 23:32:31;brush teeth end
05-Mar-2008 23:32:47;use toilet start
05-Mar-2008 23:33:19;use toilet end
05-Mar-2008 23:33:38;go to bed start
06-Mar-2008 08:39:21;go to bed end
06-Mar-2008 04:38:02;use toilet start
06-Mar-2008 04:38:56;use toilet end
06-Mar-2008 08:39:35;use toilet start
06-Mar-2008 08:40:18;use toilet end
06-Mar-2008 09:04:05;prepare Breakfast start
06-Mar-2008 09:09:56;prepare Breakfast end
06-Mar-2008 09:38:48;use toilet start
06-Mar-2008 09:43:12;use toilet end
06-Mar-2008 10:23:14;take shower start
06-Mar-2008 10:31:04;take shower end
06-Mar-2008 10:37:28;leave house start
06-Mar-2008 17:41:28;leave house end
06-Mar-2008 17:46:01;get drink start
06-Mar-2008 17:46:29;get drink end
06-Mar-2008 18:52:41;use toilet start
06-Mar-2008 18:53:55;use toilet end
06-Mar-2008 18:54:04;prepare Dinner start
06-Mar-2008 19:38:33;prepare Dinner end
06-Mar-2008 19:40:03;get drink start
06-Mar-2008 19:40:26;get drink end
06-Mar-2008 21:37:34;get drink start
06-Mar-2008 21:37:57;get drink end
06-Mar-2008 22:44:15;use toilet start
06-Mar-2008 22:47:13;use toilet end
06-Mar-2008 23:14:42;brush teeth start
06-Mar-2008 23:17:08;brush teeth end
06-Mar-2008 23:17:37;use toilet start
06-Mar-2008 23:18:25;use toilet end
06-Mar-2008 23:18:34;go to bed start
07-Mar-2008 08:39:00;go to bed end
07-Mar-2008 06:59:52;use toilet start
07-Mar-2008 07:00:40;use toilet end
07-Mar-2008 08:44:09;use toilet start
07-Mar-2008 08:45:17;use toilet end
07-Mar-2008 08:49:12;get drink start
07-Mar-2008 08:49:53;get drink end
07-Mar-2008 08:50:11;prepare Breakfast start
07-Mar-2008 08:51:45;prepare Breakfast end
07-Mar-2008 09:07:38;take shower start
07-Mar-2008 09:16:41;take shower end
07-Mar-2008 09:28:59;leave house start
08-Mar-2008 01:08:06;leave house end
08-Mar-2008 01:11:53;get drink start
08-Mar-2008 01:12:43;get drink end
08-Mar-2008 03:21:30;use toilet start
08-Mar-2008 03:23:13;use toilet end
08-Mar-2008 03:26:01;go to bed start
08-Mar-2008 08:20:27;go to bed end
08-Mar-2008 08:20:49;use toilet start
08-Mar-2008 08:21:52;use toilet end
08-Mar-2008 08:21:54;get drink start
08-Mar-2008 08:22:53;get drink end
08-Mar-2008 08:33:07;use toilet start
08-Mar-2008 08:36:08;use toilet end
08-Mar-2008 10:00:24;use toilet start
08-Mar-2008 10:01:51;use toilet end
08-Mar-2008 10:02:21;go to bed start
08-Mar-2008 10:26:09;go to bed end
08-Mar-2008 10:26:21;prepare Breakfast start
08-Mar-2008 10:29:34;prepare Breakfast end
08-Mar-2008 11:12:22;use toilet start
08-Mar-2008 11:15:28;use toilet end
08-Mar-2008 11:15:43;take shower start
08-Mar-2008 11:24:31;take shower end
08-Mar-2008 11:35:57;leave house start
10-Mar-2008 06:19:25;leave house end
10-Mar-2008 06:21:27;go to bed start
10-Mar-2008 08:34:40;go to bed end
10-Mar-2008 08:35:04;use toilet start
10-Mar-2008 08:36:02;use toilet end
10-Mar-2008 08:49:48;use toilet start
10-Mar-2008 08:51:58;use toilet end
10-Mar-2008 09:25:58;prepare Breakfast start
10-Mar-2008 09:27:24;prepare Breakfast end
10-Mar-2008 09:46:55;take shower start
10-Mar-2008 09:57:53;take shower end
10-Mar-2008 10:28:59;leave house start
10-Mar-2008 19:23:57;leave house end
10-Mar-2008 19:24:50;use toilet start
10-Mar-2008 19:25:45;use toilet end
10-Mar-2008 19:33:36;prepare Dinner start
10-Mar-2008 20:10:42;prepare Dinner end
10-Mar-2008 20:10:53;get drink start
10-Mar-2008 20:11:24;get drink end
10-Mar-2008 20:52:59;use toilet start
10-Mar-2008 20:55:01;use toilet end
10-Mar-2008 21:31:58;get drink start
10-Mar-2008 21:34:54;get drink end
10-Mar-2008 22:03:18;use toilet start
10-Mar-2008 22:04:01;use toilet end
10-Mar-2008 22:05:36;go to bed start
11-Mar-2008 08:43:44;go to bed end
11-Mar-2008 06:51:36;use toilet start
11-Mar-2008 06:53:02;use toilet end
