Ts_0,Ts_1,Ts_2,Ts_3,Ts_4,Ts_5,Ts_6,Ts_7,Ts_8,Ts_9,Ts_10,Ts_11,Ts_12,Ts_13,Ts_14,Ts_15,Ts_16,Ts_17,Ts_18,Ts_19,Ts_20,Ts_21,Ts_22,Ts_23
0   ,0   ,0   ,0   ,0   ,1   ,8   ,11  ,29  ,25  ,9    ,3    ,3    ,10   ,3    ,7    ,8    ,12   ,22   ,7    ,5    ,3    ,1    ,0
0   ,0   ,0   ,0   ,0   ,2   ,8   ,10  ,28  ,23  ,9    ,3    ,3    ,10   ,3    ,6    ,5    ,11   ,22   ,9    ,5    ,3    ,1    ,0
0   ,0   ,0   ,0   ,0   ,2   ,8   ,10  ,28  ,23  ,9    ,3    ,3    ,10   ,3    ,6    ,3    ,15   ,22   ,9    ,5    ,3    ,1    ,0
0   ,0   ,0   ,0   ,0   ,2   ,8   ,8   ,27  ,22  ,12   ,1    ,3    ,10   ,4    ,6    ,3    ,15   ,22   ,9    ,5    ,3    ,1    ,0
0   ,0   ,0   ,0   ,0   ,2   ,8   ,8   ,29  ,22  ,13   ,1    ,1    ,10   ,3    ,7    ,3    ,14   ,22   ,9    ,5    ,3    ,1    ,0
0   ,0   ,0   ,0   ,0   ,2   ,9   ,8   ,27  ,19  ,13   ,1    ,1    ,9    ,2    ,7    ,3    ,15   ,20   ,9    ,5    ,3    ,1    ,0
0   ,0   ,0   ,0   ,0   ,2   ,10  ,7   ,25  ,16  ,13   ,1    ,1    ,7    ,2    ,7    ,4    ,14   ,17   ,9    ,5    ,3    ,1    ,0
0   ,0   ,0   ,0   ,0   ,2   ,10  ,7   ,25  ,15  ,13   ,1    ,1    ,7    ,2    ,7    ,4    ,14   ,14   ,9    ,5    ,3    ,1    ,0
0   ,0   ,0   ,0   ,0   ,2   ,11  ,8   ,26  ,13  ,13   ,1    ,1    ,6    ,2    ,7    ,4    ,14   ,14   ,8    ,2    ,2    ,0    ,0
0   ,0   ,0   ,0   ,0   ,2   ,13  ,8   ,23  ,13  ,9    ,2    ,2    ,5    ,2    ,8    ,3    ,15   ,14   ,8    ,2    ,2    ,0    ,0
0   ,0   ,0   ,0   ,0   ,2   ,10  ,8   ,22  ,12  ,11   ,2    ,4    ,6    ,1    ,8    ,3    ,15   ,13   ,8    ,3    ,2    ,0    ,0
0   ,0   ,0   ,0   ,0   ,2   ,10  ,7   ,23  ,13  ,12   ,2    ,4    ,6    ,1    ,10   ,4    ,15   ,11   ,7    ,3    ,2    ,0    ,0
0   ,0   ,0   ,0   ,0   ,2   ,10  ,8   ,23  ,14  ,12   ,2    ,4    ,6    ,1    ,9    ,4    ,15   ,11   ,6    ,3    ,2    ,0    ,0
0   ,0   ,0   ,0   ,0   ,2   ,10  ,7   ,23  ,11  ,12   ,5    ,4    ,6    ,2    ,9    ,3    ,13   ,11   ,6    ,4    ,2    ,0    ,0
