sensorAddr       ,date                      ,battery,temperature,humidity,radarDetected,magnetDetected,accelerationDetected
FB:22:F0:83:70:F5,2019-11-28 15:22:34.548000,49     ,44.7       ,17      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:22:37.531000,50     ,44.51      ,17      ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:22:44.062000,51     ,43.94      ,18      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:22:47.554000,47     ,42.98      ,20      ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:22:47.703000,48     ,42.83      ,20      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:22:58.834000,50     ,42.02      ,18      ,False        ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:22:58.956000,48     ,-327.68    ,255     ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:23:08.551000,50     ,41.11      ,19      ,False        ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:23:08.673000,51     ,-327.68    ,255     ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:23:17.210000,48     ,40.42      ,22      ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:23:19.677000,48     ,39.65      ,22      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:23:24.214000,48     ,40.11      ,20      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:23:24.363000,48     ,40         ,22      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:23:24.483000,48     ,-327.68    ,255     ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:23:26.458000,50     ,39.35      ,22      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:23:26.578000,47     ,39.58      ,22      ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:23:37.710000,50     ,38.97      ,21      ,False        ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:23:37.859000,48     ,-327.68    ,255     ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:23:48.457000,50     ,38.09      ,22      ,False        ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:23:48.577000,47     ,-327.68    ,255     ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:24:00.145000,48     ,38.01      ,21      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:24:00.295000,47     ,37.51      ,23      ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:24:00.415000,49     ,37.47      ,24      ,False        ,False         ,True
FB:22:F0:83:70:F5,2019-11-28 15:24:11.521000,47     ,37.25      ,19      ,False        ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:25:41.009000,48     ,33.92      ,22      ,True         ,False         ,False
FB:22:F0:83:70:F5,2019-11-28 15:25:51.162000,49     ,33.23      ,23      ,False        ,False         ,False
