sensorAddr       ,date                      ,battery,temperature,humidity,radarDetected,magnetDetected,accelerationDetected
D1:B4:D8:4F:DF:85,2019-11-20 13:31:26.796000,100    ,23.66      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:31:36.791000,100    ,23.33      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:31:46.797000,100    ,23.37      ,30      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:31:56.789000,100    ,23.4       ,30      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:32:06.797000,100    ,23.51      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:32:16.788000,100    ,23.66      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:32:26.792000,100    ,23.66      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:32:36.788000,100    ,22.93      ,33      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:32:46.794000,100    ,23.66      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:32:56.790000,100    ,23.73      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:33:06.799000,100    ,23.62      ,35      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:33:16.790000,100    ,23.58      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:33:26.786000,100    ,23.62      ,33      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:33:36.794000,100    ,23.51      ,30      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:33:46.790000,100    ,23.66      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:33:56.783000,100    ,23.55      ,35      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:34:06.794000,100    ,23.47      ,33      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:34:16.792000,100    ,23.58      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:34:26.792000,100    ,23.51      ,30      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:34:36.791000,100    ,23.73      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:34:46.786000,100    ,23.95      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:34:56.790000,100    ,23.62      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:35:06.784000,100    ,23.69      ,29      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:35:16.791000,100    ,23.84      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:35:26.787000,100    ,23.76      ,33      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:35:36.793000,100    ,24.13      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:35:46.790000,100    ,23.4       ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:35:56.785000,100    ,23.51      ,30      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:36:06.794000,100    ,23.55      ,31      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:36:16.786000,100    ,23.87      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:36:26.791000,100    ,23.26      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:36:36.787000,100    ,23.66      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:36:46.786000,100    ,23.55      ,32      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:36:56.792000,100    ,23.11      ,35      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:37:06.790000,100    ,23.69      ,33      ,             ,              ,
D1:B4:D8:4F:DF:85,2019-11-20 13:37:16.790000,100    ,23.87      ,33      ,             ,              ,
