Ts_0,Ts_1,Ts_2,Ts_3,Ts_4,Ts_5,Ts_6,Ts_7,Ts_8,Ts_9,Ts_10,Ts_11,Ts_12,Ts_13,Ts_14,Ts_15,Ts_16,Ts_17,Ts_18,Ts_19,Ts_20,Ts_21,Ts_22,Ts_23
24  ,1   ,0   ,4   ,4   ,14  ,1   ,1   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,5    ,13
23  ,1   ,0   ,4   ,4   ,13  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,14
23  ,1   ,0   ,4   ,4   ,13  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,14
22  ,1   ,0   ,4   ,4   ,13  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,15
22  ,1   ,0   ,2   ,4   ,14  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,7    ,14
22  ,1   ,0   ,2   ,5   ,13  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,7    ,14
21  ,1   ,0   ,3   ,5   ,12  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,7    ,14
20  ,1   ,0   ,3   ,5   ,12  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,7    ,13
20  ,2   ,0   ,3   ,5   ,11  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,15
20  ,2   ,0   ,4   ,4   ,11  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,7    ,14
20  ,2   ,0   ,5   ,4   ,10  ,1   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,14
21  ,2   ,0   ,5   ,4   ,10  ,2   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,13
23  ,2   ,0   ,5   ,4   ,10  ,2   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,12
23  ,2   ,0   ,5   ,4   ,10  ,2   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,12
22  ,2   ,0   ,4   ,4   ,10  ,3   ,2   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,12
22  ,3   ,0   ,4   ,4   ,9   ,3   ,3   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,12
21  ,4   ,0   ,4   ,4   ,9   ,3   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,13
20  ,4   ,0   ,3   ,4   ,10  ,3   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,6    ,12
20  ,4   ,0   ,3   ,4   ,10  ,3   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,5    ,12
23  ,4   ,0   ,3   ,4   ,9   ,4   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,5    ,12
23  ,4   ,0   ,3   ,4   ,9   ,4   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,6    ,12
21  ,4   ,0   ,4   ,4   ,8   ,4   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,6    ,13
19  ,4   ,0   ,4   ,4   ,7   ,4   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,6    ,14
18  ,4   ,0   ,4   ,4   ,7   ,4   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,7    ,13
18  ,4   ,0   ,4   ,4   ,6   ,4   ,4   ,0   ,0   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,7    ,11
