date                   ,end_date               ,label
2020-06-25 19:28:11.573,2020-06-25 19:28:34.335,Réfrigérateur
2020-06-26 02:28:06.322,2020-06-26 02:38:06.637,Sortie de maison
2020-06-26 11:23:36.667,2020-06-26 13:40:52.600,Sortie de maison
2020-06-26 13:42:38.973,2020-06-26 14:54:02.209,Sortie de maison
2020-06-26 14:53:54.822,2020-06-26 14:54:04.065,Placard couvert
2020-06-26 14:54:02.209,2020-06-26 14:54:08.913,Placard de salon
2020-06-26 14:57:34.147,2020-06-26 14:57:37.652,Tapis de sport
2020-06-26 14:57:37.652,2020-06-26 14:57:43.659,Salon
2020-06-26 14:57:43.659,2020-06-26 14:57:52.656,Tapis de sport
2020-06-26 15:00:42.093,2020-06-26 15:01:02.759,Chambre
2020-06-26 15:01:02.759,2020-06-26 15:01:12.380,Salon
2020-06-26 15:01:03.939,2020-06-26 15:01:17.852,Chambre
2020-06-26 15:01:12.380,2020-06-26 15:01:22.231,Salon
2020-06-26 15:01:22.231,2020-06-26 15:01:41.763,Chambre
2020-06-26 15:01:45.770,2020-06-26 15:01:47.651,Cuisine
2020-06-26 15:01:47.651,2020-06-26 15:01:53.211,Chambre
2020-06-26 15:01:53.211,2020-06-26 15:01:57.246,Cuisine
2020-06-26 15:01:57.246,2020-06-26 15:01:59.097,Chambre
2020-06-26 15:01:58.166,2020-06-26 15:02:03.223,Salon
2020-06-26 15:01:59.097,2020-06-26 15:02:06.598,Cuisine
2020-06-26 15:02:06.598,2020-06-26 15:02:24.625,Chambre
2020-06-26 15:02:24.625,2020-06-26 15:02:33.962,Salon
2020-06-26 15:02:33.962,2020-06-26 15:02:36.032,Cuisine
2020-06-26 15:02:36.032,2020-06-26 15:02:43.690,Chambre
2020-06-26 15:02:38.732,2020-06-26 15:02:49.445,Salon
2020-06-26 15:02:49.445,2020-06-26 15:02:51.836,Cuisine
2020-06-26 15:02:51.836,2020-06-26 15:02:56.364,Chambre
2020-06-26 15:02:54.156,2020-06-26 15:03:01.172,Salon
2020-06-26 15:08:57.984,2020-06-26 15:09:03.741,Tapis de sport
