date                   ,end_date               ,label
2020-06-11 14:44:35.249,2020-06-11 14:44:36.285,Ordinateur
2020-06-11 14:45:01.407,2020-06-11 14:45:03.108,Placard buffet
2020-06-11 14:45:13.582,2020-06-11 14:45:15.385,Salle de bain
2020-06-11 14:45:22.473,2020-06-11 14:45:24.513,Réfrigérateur
2020-06-11 14:45:26.946,2020-06-11 14:45:29.068,Toilette
2020-06-11 14:45:51.019,2020-06-11 14:45:51.028,Placard 2
2020-06-11 14:48:00.038,2020-06-11 14:48:00.731,Placard Penderie
2020-06-11 14:51:19.491,2020-06-11 14:53:36.710,Salon
2020-06-11 14:53:36.710,2020-06-11 14:53:48.007,Salle manger ancienne Cuisine
2020-06-11 14:53:44.137,2020-06-11 14:53:50.434,Salon
2020-06-11 14:53:48.007,2020-06-11 14:53:54.436,Salle manger ancienne Cuisine
2020-06-11 14:53:50.434,2020-06-11 14:53:56.464,Salon
2020-06-11 14:53:56.464,2020-06-11 14:54:15.428,Salle manger ancienne Cuisine
2020-06-11 14:54:15.428,2020-06-11 14:54:19.384,Salon
2020-06-11 14:54:19.384,2020-06-11 14:54:54.235,Salle manger ancienne Cuisine
2020-06-11 14:54:54.235,2020-06-11 14:55:06.591,Réfrigérateur
2020-06-11 14:55:02.085,2020-06-11 14:55:08.980,Salon
2020-06-11 14:55:08.980,2020-06-11 14:55:13.111,Salle manger ancienne Cuisine
2020-06-11 14:55:32.118,2020-06-11 14:56:02.265,Salon
2020-06-11 14:56:02.265,2020-06-11 14:57:10.775,Chambre à coucher
2020-06-11 14:57:10.775,2020-06-11 14:57:10.798,Salon
2020-06-11 14:57:12.510,2020-06-11 14:57:13.261,Chambre à coucher
2020-06-11 14:57:13.261,2020-06-11 14:58:05.569,Salon
2020-06-11 14:57:57.916,2020-06-11 14:58:09.586,Bureau
2020-06-11 14:58:05.569,2020-06-11 14:58:11.866,Salon
2020-06-11 14:58:11.866,2020-06-11 14:58:21.665,Bureau
2020-06-11 14:58:21.665,2020-06-11 14:58:25.856,Salon
2020-06-11 14:58:25.856,2020-06-11 14:58:46.098,Bureau
2020-06-11 14:59:00.145,2020-06-11 14:59:04.036,Salon
2020-06-11 14:59:11.270,2020-06-11 14:59:15.325,Salle manger ancienne Cuisine
2020-06-11 14:59:15.325,2020-06-11 14:59:22.855,Réfrigérateur
2020-06-11 14:59:17.043,2020-06-11 14:59:29.860,Salle manger ancienne Cuisine
2020-06-11 14:59:22.855,2020-06-11 14:59:36.315,Placard buffet
2020-06-11 14:59:29.860,2020-06-11 14:59:37.747,Salle manger ancienne Cuisine
2020-06-11 14:59:36.315,2020-06-11 14:59:50.275,Toilette
2020-06-11 14:59:37.747,2020-06-11 14:59:52.962,Salle de bain
2020-06-11 14:59:50.275,2020-06-11 14:59:58.336,Placard 1
2020-06-11 14:59:52.962,2020-06-11 15:00:04.604,Placard 2
2020-06-11 15:00:04.604,2020-06-11 15:00:11.959,Bureau
2020-06-11 15:00:11.959,2020-06-11 15:00:35.153,Chambre à coucher
2020-06-11 15:00:35.153,2020-06-11 15:21:34.241,Salon
2020-06-11 15:21:57.743,2020-06-11 15:21:57.868,Salon
2020-06-11 15:22:30.898,2020-06-11 15:22:34.253,Salon
2020-06-11 15:22:38.091,2020-06-11 15:22:57.103,Salon
2020-06-11 15:23:59.659,2020-06-11 15:24:26.385,Salon
2020-06-11 15:25:23.394,2020-06-11 15:47:20.191,Salle manger ancienne Cuisine
