date                   ,end_date               ,label
2020-03-11 15:19:38.911,2020-03-11 15:20:16.042,Salon
2020-03-11 15:22:31.577,2020-03-11 15:27:28.728,Coin cuisine
2020-03-11 15:27:28.728,2020-03-11 15:27:41.812,Chambre à coucher
2020-03-11 15:27:40.143,2020-03-11 15:27:48.824,Coin cuisine
2020-03-11 15:27:48.824,2020-03-11 15:27:49.064,Chambre à coucher
2020-03-11 15:27:49.064,2020-03-11 15:27:55.653,Coin cuisine
2020-03-11 15:27:55.653,2020-03-11 15:28:15.066,Chambre à coucher
2020-03-11 15:28:15.066,2020-03-11 15:28:25.677,Coin cuisine
2020-03-11 15:28:25.677,2020-03-11 15:28:25.886,Chambre à coucher
2020-03-11 15:29:04.617,2020-03-11 15:30:30.766,Coin cuisine
2020-03-11 15:30:30.766,2020-03-11 15:30:43.922,Couloir principal
2020-03-11 15:30:43.922,2020-03-11 15:30:44.072,Coin cuisine
2020-03-11 15:30:45.636,2020-03-11 15:30:55.672,Couloir principal
2020-03-11 15:30:55.672,2020-03-11 15:31:00.770,Coin cuisine
2020-03-11 15:31:00.770,2020-03-11 15:31:47.849,Couloir principal
2020-03-11 15:31:50.709,2020-03-11 15:33:46.753,Coin cuisine
2020-03-11 15:33:46.753,2020-03-11 15:34:39.713,Couloir principal
2020-03-11 15:34:38.061,2020-03-11 15:34:48.638,Coin cuisine
2020-03-11 15:34:48.638,2020-03-11 15:34:56.417,Réfrigérateur
2020-03-11 15:34:56.417,2020-03-11 15:35:05.155,Couloir principal
2020-03-11 15:35:05.155,2020-03-11 15:35:05.514,Réfrigérateur
2020-03-11 15:35:05.514,2020-03-11 15:35:23.294,Coin cuisine
2020-03-11 15:35:14.478,2020-03-11 15:35:35.635,Réfrigérateur
2020-03-11 15:35:35.635,2020-03-11 15:36:46.087,Coin cuisine
2020-03-11 15:54:31.605,2020-03-11 15:55:03.298,Salon
2020-03-11 15:55:03.298,2020-03-11 15:55:20.705,Coin cuisine
2020-03-11 16:03:59.045,2020-03-11 16:04:10.697,Coin cuisine
2020-03-11 16:04:07.754,2020-03-11 16:04:14.749,Couloir principal
2020-03-11 16:04:24.790,2020-03-11 16:04:32.400,Couloir principal
2020-03-11 16:04:27.960,2020-03-11 16:07:09.729,Coin cuisine
2020-03-11 16:07:09.729,2020-03-11 16:07:33.932,Salle de bain
2020-03-11 16:07:33.932,2020-03-11 16:07:52.826,Coin cuisine
2020-03-11 16:07:52.826,2020-03-11 16:07:53.276,Salle de bain
2020-03-11 16:07:53.276,2020-03-11 16:08:05.964,Couloir principal
