date                      ,end_date                  ,label
2011-06-15 00:10:12.444559,2011-06-15 01:19:33.315882,sleep
2011-06-15 01:19:35.376932,2011-06-15 01:35:15.251531,bed_toilet_transition
2011-06-15 01:35:21.981904,2011-06-15 05:22:28.293067,sleep
2011-06-15 05:22:30.406150,2011-06-15 05:23:23.496275,toilet
2011-06-15 06:46:15.598717,2011-06-15 06:50:04.111072,morning_meds
2011-06-15 06:50:32.472725,2011-06-15 06:52:55.985784,toilet
2011-06-15 06:57:04.521194,2011-06-15 07:06:09.941907,dress
2011-06-15 07:06:14.311488,2011-06-15 07:10:04.106742,groom
2011-06-15 07:11:25.957765,2011-06-15 07:40:47.640572,relax
2011-06-15 08:17:25.158977,2011-06-15 08:23:39.739927,toilet
2011-06-15 08:23:48.737126,2011-06-15 08:26:07.112387,dress
2011-06-15 08:26:47.936574,2011-06-15 08:36:24.376845,cook_breakfast
2011-06-15 08:36:31.005026,2011-06-15 09:01:59.589173,eat_breakfast
2011-06-15 09:54:43.073966,2011-06-15 09:56:04.223719,wash_breakfast_dishes
2011-06-15 10:01:25.696721,2011-06-15 10:01:43.494248,toilet
2011-06-15 10:02:02.005271,2011-06-15 11:30:35.615870,watch_tv
2011-06-15 11:30:58.294386,2011-06-15 11:31:21.606243,toilet
2011-06-15 12:41:16.347699,2011-06-15 12:42:44.703533,toilet
2011-06-15 12:46:04.206828,2011-06-15 13:04:27.417752,cook_lunch
2011-06-15 13:04:35.613398,2011-06-15 13:21:08.179399,eat_lunch
2011-06-15 13:21:34.514621,2011-06-15 13:23:06.670986,toilet
2011-06-15 13:27:48.714033,2011-06-15 13:28:47.189856,toilet
2011-06-15 16:15:08.894069,2011-06-15 16:20:06.345760,take_medicine
2011-06-15 16:20:36.501491,2011-06-15 16:21:52.208457,toilet
2011-06-15 18:08:43.388937,2011-06-15 18:16:44.411764,bathe
2011-06-15 18:16:51.921282,2011-06-15 18:51:52.296661,watch_tv
2011-06-15 19:03:30.625045,2011-06-15 19:10:18.166620,watch_tv
2011-06-15 19:10:55.254369,2011-06-15 20:35:28.116585,watch_tv
2011-06-15 20:35:37.669522,2011-06-15 20:36:18.295411,toilet
2011-06-15 20:41:27.955862,2011-06-15 21:35:45.403531,watch_tv
2011-06-15 21:35:47.105075,2011-06-15 21:38:54.417954,evening_meds
2011-06-15 21:39:39.902897,2011-06-15 21:48:20.461129,watch_tv
2011-06-15 21:48:33.847736,2011-06-15 21:49:45.820492,toilet
2011-06-15 21:50:57.859662,2011-06-15 21:54:07.864623,personal_hygiene
2011-06-15 21:57:49.164169,2011-06-16 03:05:22.136710,sleep
