date;activity
2008-02-25 00:19:32;brush teeth START
2008-02-25 00:21:24;brush teeth END
2008-02-25 00:22:46;go to bed START
2008-02-25 09:34:12;go to bed END
2008-02-25 09:37:17;use toilet START
2008-02-25 09:38:02;use toilet END
2008-02-25 09:49:23;prepare Breakfast START
2008-02-25 09:53:28;prepare Breakfast END
2008-02-25 10:02:28;take shower START
2008-02-25 10:12:42;take shower END
2008-02-25 10:19:06;leave house START
2008-02-25 16:55:38;leave house END
2008-02-25 17:00:31;use toilet START
2008-02-25 17:01:34;use toilet END
2008-02-25 17:54:55;get drink START
2008-02-25 17:55:58;get drink END
2008-02-25 18:31:54;use toilet START
2008-02-25 18:33:38;use toilet END
2008-02-25 19:40:26;prepare Dinner START
2008-02-25 20:22:58;prepare Dinner END
2008-02-25 20:23:12;get drink START
2008-02-25 20:23:35;get drink END
2008-02-25 21:51:29;use toilet START
2008-02-25 21:52:36;use toilet END
2008-02-25 23:21:15;go to bed START
2008-02-25 23:22:38;brush teeth START
2008-02-25 23:24:38;brush teeth END
2008-02-25 23:28:30;use toilet START
2008-02-25 23:29:14;use toilet END
2008-02-26 00:39:24;use toilet START
2008-02-26 00:39:40;use toilet END
2008-02-26 03:13:40;use toilet START
2008-02-26 03:14:41;use toilet END
2008-02-26 08:35:59;use toilet START
2008-02-26 08:36:38;use toilet END
2008-02-26 09:15:30;go to bed END
2008-02-26 09:15:40;use toilet START
2008-02-26 09:19:00;use toilet END
2008-02-26 09:26:42;prepare Breakfast START
2008-02-26 09:29:09;prepare Breakfast END
2008-02-26 09:48:07;take shower START
2008-02-26 09:58:56;take shower END
2008-02-26 10:05:59;leave house START
2008-02-26 20:34:20;leave house END
2008-02-26 21:02:34;use toilet START
2008-02-26 21:04:02;use toilet END
2008-02-26 21:39:23;get drink START
2008-02-26 21:40:12;get drink END
2008-02-26 22:56:00;use toilet START
2008-02-26 22:58:51;use toilet END
2008-02-26 22:59:37;brush teeth START
2008-02-26 23:00:34;brush teeth END
2008-02-26 23:01:33;go to bed START
2008-02-27 05:29:11;use toilet START
2008-02-27 05:30:26;use toilet END
2008-02-27 08:00:48;go to bed END
2008-02-27 08:01:22;prepare Breakfast START
2008-02-27 08:02:58;prepare Breakfast END
2008-02-27 08:13:55;use toilet START
2008-02-27 08:16:07;use toilet END
2008-02-27 08:16:45;take shower START
2008-02-27 08:27:20;take shower END
2008-02-27 08:34:25;leave house START
2008-02-27 18:59:03;leave house END
2008-02-27 18:59:55;prepare Dinner START
2008-02-27 19:19:08;prepare Dinner END
2008-02-27 19:19:52;get drink START
2008-02-27 19:20:11;get drink END
2008-02-27 23:03:23;use toilet START
2008-02-27 23:05:40;use toilet END
2008-02-28 00:08:58;brush teeth START
2008-02-28 00:10:45;brush teeth END
2008-02-28 00:11:06;use toilet START
2008-02-28 00:13:59;use toilet END
2008-02-28 00:16:16;go to bed START
2008-02-28 07:06:27;use toilet START
