date;activity
2009-07-24 16:46:19;Leaving the house START
2009-07-24 18:32:57;Leaving the house END
2009-07-24 20:21:50;Prepare dinner START
2009-07-24 20:39:39;Prepare dinner END
2009-07-24 20:46:57;Get a drink START
2009-07-24 20:47:14;Get a drink END
2009-07-24 21:19:54;Brush teeth START
2009-07-24 21:22:36;Brush teeth END
2009-07-24 21:25:20;Leaving the house START
2009-07-25 02:46:34;Leaving the house END
2009-07-25 02:54:18;Go to bed START
2009-07-25 06:54:01;Go to bed END
2009-07-25 06:55:52;Get a drink START
2009-07-25 06:56:41;Get a drink END
2009-07-25 07:04:19;Go to bed START
2009-07-25 11:08:25;Go to bed END
2009-07-25 11:08:51;Use toilet START
2009-07-25 11:09:45;Use toilet END
2009-07-25 11:13:25;Prepare brunch START
2009-07-25 11:29:22;Prepare brunch END
2009-07-25 11:51:31;Use toilet START
2009-07-25 11:54:32;Use toilet END
2009-07-25 13:03:31;Take shower START
2009-07-25 13:13:59;Take shower END
2009-07-25 13:15:06;Brush teeth START
2009-07-25 13:17:02;Brush teeth END
2009-07-25 14:29:42;Get a drink START
2009-07-25 14:30:28;Get a drink END
2009-07-25 15:12:05;Leaving the house START
2009-07-26 03:33:10;Leaving the house END
2009-07-26 03:33:25;Go to bed START
2009-07-26 09:32:18;Go to bed END
2009-07-26 09:32:21;Get a drink START
2009-07-26 09:32:41;Get a drink END
2009-07-26 09:32:43;Go to bed START
2009-07-26 11:38:58;Go to bed END
2009-07-26 12:09:36;Prepare brunch START
2009-07-26 12:21:48;Prepare brunch END
2009-07-26 14:05:28;Use toilet START
2009-07-26 14:09:15;Use toilet END
2009-07-26 15:41:14;Use toilet START
2009-07-26 15:41:18;Use toilet END
2009-07-26 15:41:34;Take shower START
2009-07-26 15:49:58;Take shower END
2009-07-26 15:54:27;Brush teeth START
2009-07-26 15:56:07;Brush teeth END
2009-07-26 16:19:19;Leaving the house START
2009-07-27 04:58:12;Leaving the house END
2009-07-27 04:58:44;Go to bed START
2009-07-27 05:02:46;Use toilet START
2009-07-27 05:03:24;Use toilet END
2009-07-27 12:15:38;Go to bed END
2009-07-27 12:17:38;Use toilet START
2009-07-27 12:17:42;Use toilet END
2009-07-27 12:30:08;Take shower START
2009-07-27 12:47:48;Take shower END
2009-07-27 12:53:13;Get a drink START
2009-07-27 12:54:03;Get a drink END
2009-07-27 13:18:13;Leaving the house START
2009-07-27 23:04:32;Leaving the house END
2009-07-27 23:22:11;Brush teeth START
2009-07-27 23:22:51;Brush teeth END
2009-07-27 23:25:08;Use toilet START
2009-07-27 23:25:10;Go to bed START
2009-07-27 23:25:50;Use toilet END
2009-07-28 09:34:42;Go to bed END
2009-07-28 09:56:17;Use toilet START
2009-07-28 09:57:11;Use toilet END
2009-07-28 10:12:57;Prepare brunch START
2009-07-28 10:23:51;Prepare brunch END
2009-07-28 10:50:53;Take shower START
2009-07-28 11:00:10;Take shower END
2009-07-28 11:06:42;Leaving the house START
2009-07-28 18:02:12;Leaving the house END
2009-07-28 18:16:44;Prepare dinner START
2009-07-28 18:48:18;Prepare dinner END
2009-07-28 22:35:13;Brush teeth START
2009-07-28 22:36:00;Brush teeth END
2009-07-28 22:37:05;Go to bed START
2009-07-29 09:48:20;Go to bed END
2009-07-29 10:19:59;Use toilet START
2009-07-29 10:22:39;Use toilet END
2009-07-29 10:41:02;Take shower START
2009-07-29 10:50:00;Take shower END
2009-07-29 11:17:28;Leaving the house START
2009-07-29 11:51:30;Leaving the house END
2009-07-29 11:53:37;Prepare brunch START
2009-07-29 11:58:41;Prepare brunch END
2009-07-29 13:12:36;Leaving the house START
2009-07-29 13:31:01;Leaving the house END
2009-07-29 14:08:28;Leaving the house START
2009-07-29 18:08:13;Leaving the house END
2009-07-29 18:09:43;Prepare dinner START
2009-07-29 18:13:26;Prepare dinner END
2009-07-29 18:15:03;Prepare dinner START
2009-07-29 18:18:00;Prepare dinner END
2009-07-29 18:48:52;Take shower START
2009-07-29 18:58:07;Take shower END
2009-07-29 19:11:10;Leaving the house START
2009-07-30 03:03:58;Leaving the house END
2009-07-30 03:04:02;Brush teeth START
2009-07-30 03:06:26;Brush teeth END
2009-07-30 03:09:00;Go to bed START
2009-07-30 11:18:18;Go to bed END
2009-07-30 11:18:27;Use toilet START
2009-07-30 11:19:12;Use toilet END
2009-07-30 11:21:22;Prepare brunch START
2009-07-30 11:32:26;Prepare brunch END
2009-07-30 12:01:04;Use toilet START
2009-07-30 12:03:44;Use toilet END
2009-07-30 12:54:36;Take shower START
2009-07-30 13:03:14;Take shower END
2009-07-30 13:11:43;Leaving the house START
2009-07-30 17:10:20;Leaving the house END
2009-07-30 17:12:11;Get a drink START
2009-07-30 17:12:58;Get a drink END
2009-07-30 17:13:51;Leaving the house START
2009-07-31 01:01:30;Leaving the house END
2009-07-31 01:21:37;Brush teeth START
2009-07-31 01:23:02;Brush teeth END
2009-07-31 01:23:40;Use toilet START
2009-07-31 01:24:36;Use toilet END
2009-07-31 01:33:11;Go to bed START
2009-07-31 09:45:20;Go to bed END
2009-07-31 09:45:23;Use toilet START
2009-07-31 09:46:23;Use toilet END
2009-07-31 09:46:49;Prepare brunch START
2009-07-31 09:51:23;Prepare brunch END
2009-07-31 09:56:44;Prepare brunch START
2009-07-31 09:58:45;Prepare brunch END
2009-07-31 10:56:11;Take shower START
2009-07-31 11:07:33;Take shower END
2009-07-31 11:12:05;Use toilet START
2009-07-31 11:13:33;Use toilet END
2009-07-31 11:18:01;Brush teeth START
2009-07-31 11:20:24;Brush teeth END
2009-07-31 11:22:04;Leaving the house START
2009-07-31 22:20:49;Leaving the house END
2009-07-31 22:21:20;Get a drink START
2009-07-31 22:22:05;Get a drink END
2009-07-31 22:31:42;Brush teeth START
2009-07-31 22:33:28;Brush teeth END
2009-07-31 22:34:00;Use toilet START
2009-07-31 22:34:47;Use toilet END
2009-07-31 22:35:15;Go to bed START
2009-08-01 05:19:06;Use toilet START
2009-08-01 05:20:08;Use toilet END
2009-08-01 10:45:20;Go to bed END
2009-08-01 11:14:00;Use toilet START
2009-08-01 11:17:18;Use toilet END
2009-08-01 11:18:05;Prepare brunch START
2009-08-01 11:28:15;Prepare brunch END
2009-08-01 12:48:39;Take shower START
2009-08-01 12:56:47;Take shower END
2009-08-01 13:01:29;Leaving the house START
2009-08-01 22:13:37;Leaving the house END
2009-08-01 22:15:05;Prepare dinner START
2009-08-01 22:38:28;Prepare dinner END
2009-08-02 00:08:49;Use toilet START
2009-08-02 00:09:55;Use toilet END
2009-08-02 00:10:48;Brush teeth START
2009-08-02 00:12:23;Brush teeth END
2009-08-02 00:12:33;Go to bed START
2009-08-02 09:26:32;Go to bed END
2009-08-02 09:27:11;Use toilet START
2009-08-02 09:28:05;Use toilet END
2009-08-02 09:28:30;Prepare dinner START
2009-08-02 09:34:49;Prepare dinner END
2009-08-02 09:45:03;Use toilet START
2009-08-02 09:45:33;Use toilet END
2009-08-02 09:45:56;Use toilet START
2009-08-02 09:50:57;Use toilet END
2009-08-02 10:27:46;Take shower START
2009-08-02 10:33:32;Take shower END
2009-08-02 10:37:11;Brush teeth START
2009-08-02 10:39:18;Brush teeth END
2009-08-02 10:55:17;Leaving the house START
2009-08-02 14:40:44;Leaving the house END
2009-08-02 14:41:06;Use toilet START
2009-08-02 14:43:02;Use toilet END
2009-08-02 14:46:15;Leaving the house START
2009-08-03 04:05:01;Leaving the house END
2009-08-03 04:23:41;Brush teeth START
2009-08-03 04:25:24;Brush teeth END
2009-08-03 04:26:25;Go to bed START
2009-08-03 05:37:24;Go to bed END
2009-08-03 05:47:46;Leaving the house START
2009-08-04 15:10:31;Leaving the house END
2009-08-04 15:11:53;Get a drink START
2009-08-04 15:13:26;Get a drink END
2009-08-04 15:13:29;Use toilet START
2009-08-04 15:14:44;Use toilet END
2009-08-04 15:41:37;Leaving the house START
2009-08-05 00:09:59;Leaving the house END
2009-08-05 00:11:06;Go to bed START
2009-08-05 05:53:01;Use toilet START
2009-08-05 05:54:47;Use toilet END
2009-08-05 12:40:30;Go to bed END
2009-08-05 12:40:38;Use toilet START
2009-08-05 12:42:08;Use toilet END
2009-08-05 12:42:50;Prepare brunch START
2009-08-05 12:51:28;Prepare brunch END
2009-08-05 13:47:53;Use toilet START
2009-08-05 13:48:06;Use toilet END
2009-08-05 14:11:09;Take shower START
2009-08-05 14:21:51;Take shower END
2009-08-05 14:27:38;Leaving the house START
2009-08-05 16:26:48;Leaving the house END
2009-08-05 16:40:03;Leaving the house START
2009-08-05 22:54:17;Leaving the house END
2009-08-05 23:45:20;Brush teeth START
2009-08-05 23:47:16;Brush teeth END
2009-08-05 23:47:43;Use toilet START
2009-08-05 23:49:34;Use toilet END
2009-08-05 23:49:48;Go to bed START
2009-08-06 04:25:53;Go to bed END
2009-08-06 04:27:38;Leaving the house START
2009-08-06 15:17:30;Leaving the house END
2009-08-06 15:22:01;Leaving the house START
2009-08-06 19:17:50;Leaving the house END
2009-08-06 19:18:41;Leaving the house START
2009-08-07 14:02:17;Leaving the house END
2009-08-07 14:14:10;Leaving the house START
2009-08-07 23:47:06;Leaving the house END
