ID	label
1	'Leaving the house'
2	''
3	''
4	'Use toilet'
5	'Take shower'
6	'Brush teeth'
7	''
8	''
9	'Shaving'
10	'Go to bed'
11	'Get dressed'
12	''
13	'Prepare brunch'
14	''
15	'Prepare dinner'
16	''
17	'Get a drink'
18	''
19	''
20	''
21	''
22	''
23	''
24	'Wash dishes'
25	''
26	''
27	''
28	''
29	'Answering phone'
30	''
31	'Eat dinner'
32	'Eat brunch'
33	'Setting up sensors'
34	'Unpacking'
35	'Install sensor'
36	'On phone'
37	'Fasten kitchen camera'
38	'Wash toaster'
39	''
40	'Play piano'
41	''
42	'Gwenn searches keys'
43	'Prepare for leaving'
44	'Drop dish (No dishwash)'
45	'Water baobab'
