date;activity
2009-07-21 13:30:12; toilet door ON
2009-07-21 13:30:13; toilet door OFF
2009-07-21 13:30:18; toilet door ON
2009-07-21 13:37:54; mercury switch dresser door ON
2009-07-21 13:37:58; mercury switch dresser door OFF
2009-07-21 13:38:08; mercury switch dresser door ON
2009-07-21 13:38:09; mercury switch dresser door OFF
2009-07-21 13:38:10; mercury switch dresser door ON
2009-07-21 13:41:31; mercury switch dresser door OFF
2009-07-21 13:41:34; mercury switch dresser door ON
2009-07-21 13:41:35; mercury switch dresser door OFF
2009-07-21 13:41:37; mercury switch dresser door ON
2009-07-21 13:41:49; mercury switch dresser door OFF
2009-07-21 13:41:52; mercury switch dresser door ON
2009-07-21 13:41:53; mercury switch dresser door OFF
2009-07-21 13:43:37; mercury switch dresser door ON
2009-07-21 13:43:38; mercury switch dresser door OFF
2009-07-21 13:43:42; mercury switch dresser door ON
2009-07-21 13:43:43; mercury switch dresser door OFF
2009-07-21 13:43:53; mercury switch dresser door ON
2009-07-21 13:43:54; mercury switch dresser door OFF
2009-07-21 13:44:08; mercury switch dresser door ON
2009-07-21 13:44:09; mercury switch dresser door OFF
2009-07-21 13:44:10; mercury switch dresser door ON
2009-07-21 13:44:11; mercury switch dresser door OFF
2009-07-21 13:44:13; mercury switch dresser door ON
2009-07-21 13:54:14; toilet door OFF
2009-07-21 13:54:19; frontdoor ON
2009-07-21 13:54:23; toilet door ON
2009-07-21 13:54:24; toilet door OFF
2009-07-21 13:54:29; frontdoor OFF
2009-07-21 15:19:23;mercury switch cutlary drawer ON
2009-07-21 15:19:24;mercury switch cutlary drawer OFF
2009-07-21 15:19:27;mercury switch cutlary drawer ON
2009-07-21 15:19:28;mercury switch cutlary drawer OFF
2009-07-21 15:32:59; mercury switch dresser door OFF
2009-07-21 15:33:02; mercury switch dresser door ON
2009-07-21 15:33:03; mercury switch dresser door OFF
2009-07-21 17:01:07; mercury switch dresser door ON
2009-07-21 17:01:08; mercury switch dresser door OFF
2009-07-21 17:01:10; mercury switch dresser door ON
2009-07-21 17:01:11; mercury switch dresser door OFF
2009-07-21 17:13:47; mercury switch dresser door ON
2009-07-21 17:13:48; mercury switch dresser door OFF
2009-07-21 17:13:52; mercury switch dresser door ON
2009-07-21 17:13:58; mercury switch dresser door OFF
2009-07-21 17:14:20; mercury switch dresser door ON
2009-07-21 17:14:21; mercury switch dresser door OFF
2009-07-21 17:14:23; mercury switch dresser door ON
2009-07-21 17:14:24; mercury switch dresser door OFF
2009-07-21 17:14:27; mercury switch dresser door ON
2009-07-21 17:14:28; mercury switch dresser door OFF
