date;activity
2008-11-19 22:49:00;leave house START
2008-11-19 22:50:00;leave house END
2008-11-19 22:50:40;use toilet downstairs START
2008-11-19 22:51:45;use toilet downstairs END
2008-11-19 22:59:25;get drink START
2008-11-19 23:00:00;get drink END
2008-11-20 00:14:50;get drink START
2008-11-20 00:15:20;get drink END
2008-11-20 01:30:30;use toilet downstairs START
2008-11-20 01:31:10;use toilet downstairs END
2008-11-20 01:31:30;brush teeth START
2008-11-20 01:36:20;brush teeth END
2008-11-20 01:37:00;go to bed START
2008-11-20 08:48:40;use toilet downstairs START
2008-11-20 08:49:40;use toilet downstairs END
2008-11-20 09:31:40;go to bed END
2008-11-20 10:41:50;prepare Breakfast START
2008-11-20 10:47:00;prepare Breakfast END
2008-11-20 11:03:00;use toilet downstairs START
2008-11-20 11:04:00;use toilet downstairs END
2008-11-20 13:11:10;prepare Breakfast START
2008-11-20 13:18:50;use toilet downstairs START
2008-11-20 13:20:40;use toilet downstairs END
2008-11-20 13:22:30;prepare Breakfast END
2008-11-20 15:28:00;leave house START
2008-11-20 17:20:00;leave house END
2008-11-20 17:22:00;use toilet downstairs START
2008-11-20 17:23:20;use toilet downstairs END
2008-11-20 17:27:20;prepare Dinner START
2008-11-20 17:55:00;prepare Dinner END
2008-11-20 19:50:10;use toilet downstairs START
2008-11-20 19:51:15;use toilet downstairs END
2008-11-20 19:57:10;leave house START
2008-11-20 22:38:00;leave house END
2008-11-21 00:44:30;use toilet downstairs START
2008-11-21 00:45:00;use toilet downstairs END
2008-11-21 00:51:00;go to bed START
2008-11-21 06:01:00;use toilet downstairs START
2008-11-21 06:04:40;use toilet downstairs END
2008-11-21 11:20:00;go to bed END
2008-11-21 11:21:30;use toilet downstairs START
2008-11-21 11:22:00;use toilet downstairs END
2008-11-21 11:33:30;prepare Breakfast START
2008-11-21 11:41:20;prepare Breakfast END
2008-11-21 13:42:40;prepare Breakfast START
2008-11-21 13:47:30;prepare Breakfast END
2008-11-21 14:37:50;get drink START
2008-11-21 14:38:40;get drink END
2008-11-21 14:52:20;use toilet downstairs START
2008-11-21 14:55:00;use toilet downstairs END
2008-11-21 15:43:00;take shower START
2008-11-21 16:29:40;take shower END
2008-11-21 16:43:50;leave house START
2008-11-21 17:29:30;leave house END
2008-11-21 18:17:15;brush teeth START
2008-11-21 18:22:10;brush teeth END
2008-11-21 18:22:10;use toilet downstairs START
2008-11-21 18:23:10;use toilet downstairs END
2008-11-21 18:30:30;leave house START
2008-11-21 21:21:30;leave house END
2008-11-21 21:22:30;use toilet downstairs START
2008-11-21 21:23:20;use toilet downstairs END
2008-11-21 21:30:30;leave house START
2008-11-21 21:32:00;leave house END
2008-11-22 01:28:20;use toilet downstairs START
2008-11-22 01:29:00;use toilet downstairs END
2008-11-22 01:29:20;brush teeth START
2008-11-22 01:33:50;brush teeth END
2008-11-22 01:36:30;go to bed START
2008-11-22 09:37:10;go to bed END
2008-11-22 09:37:20;use toilet downstairs START
2008-11-22 09:38:20;use toilet downstairs END
2008-11-22 09:38:50;take shower START
2008-11-22 09:45:10;take shower END
2008-11-22 10:21:00;prepare Breakfast START
2008-11-22 10:26:00;prepare Breakfast END
2008-11-22 10:44:30;use toilet downstairs START
2008-11-22 10:46:30;use toilet downstairs END
2008-11-22 10:56:40;leave house START
2008-11-22 12:29:30;leave house END
2008-11-22 12:32:00;prepare Breakfast START
2008-11-22 12:50:30;prepare Breakfast END
