ID	label
1	'leave house'
2	''
3	'Eating'
4	'use toilet downstairs'
5	'take shower'
6	'brush teeth'
7	'use toilet upstairs'
8	'take bath'
9	'shave'
10	'go to bed'
11	'get dressed'
12	'take medication'
13	'prepare Breakfast'
14	'prepare Lunch'
15	'prepare Dinner'
16	'get snack'
17	'get drink'
18	'put items in dishwasher'
19	'unload dishwasher'
20	'store groceries'
21	'Grooming (Collection of 6,9,12,22)'
22	'put clothes in washingmachine'
23	'unload washingmachine'
24	''
25	'receive guest'
26	'watch tv'
27	'read paper'
28	'relax'
29	''
30	'Unknown'
