date;activity
2008-11-19 22:47:46;frontdoor, reed  ON
2008-11-19 22:49:17;frontdoor, reed  OFF
2008-11-19 22:49:21;frontdoor, reed  ON
2008-11-19 22:49:22;frontdoor, reed  OFF
2008-11-19 22:49:24;frontdoor, reed  ON
2008-11-19 22:50:14;frontdoor, reed  OFF
2008-11-19 22:50:19;frontdoor, reed  ON
2008-11-19 22:51:03;toilet door downstairs ON
2008-11-19 22:51:04;toilet door downstairs OFF
2008-11-19 22:51:05;toilet door downstairs ON
2008-11-19 22:51:46;toilet door downstairs OFF
2008-11-19 22:51:50;toilet door downstairs ON
2008-11-19 22:52:17;toilet flush downstairs. flush  ON
2008-11-19 22:59:13;cupboard herbs and plates,reed  ON
2008-11-19 22:59:41;cupboard herbs and plates,reed  OFF
2008-11-19 22:59:53;fridge, reed  ON
2008-11-19 23:00:04;fridge, reed  OFF
2008-11-19 23:00:06;fridge, reed  ON
2008-11-19 23:00:27;cupboard herbs and plates,reed  ON
2008-11-19 23:00:32;cupboard herbs and plates,reed  OFF
2008-11-19 23:01:14;couch, pressure mat ON
2008-11-19 23:01:15;couch, pressure mat OFF
2008-11-19 23:01:22;couch, pressure mat ON
2008-11-19 23:01:23;couch, pressure mat OFF
2008-11-19 23:02:41;couch, pressure mat ON
2008-11-19 23:02:42;couch, pressure mat OFF
2008-11-19 23:18:41;couch, pressure mat ON
2008-11-19 23:18:42;couch, pressure mat OFF
2008-11-19 23:19:00;couch, pressure mat ON
2008-11-19 23:19:01;couch, pressure mat OFF
2008-11-19 23:19:18;couch, pressure mat ON
2008-11-19 23:19:19;couch, pressure mat OFF
2008-11-19 23:22:26;couch, pressure mat ON
2008-11-19 23:22:27;couch, pressure mat OFF
2008-11-19 23:23:45;couch, pressure mat ON
2008-11-19 23:23:46;couch, pressure mat OFF
2008-11-20 00:15:08;fridge, reed  OFF
2008-11-20 00:15:11;fridge, reed  ON
2008-11-20 00:15:12;fridge, reed  OFF
2008-11-20 00:15:29;fridge, reed  ON
2008-11-20 00:15:42;cupboard herbs and plates,reed  ON
2008-11-20 00:16:06;cupboard herbs and plates,reed  OFF
2008-11-20 00:16:17;couch, pressure mat ON
2008-11-20 00:16:18;couch, pressure mat OFF
2008-11-20 00:39:16;fridge, reed  OFF
2008-11-20 00:39:19;fridge, reed  ON
2008-11-20 00:39:24;cutlary drawer, mercury switch ON
2008-11-20 00:39:25;cutlary drawer, mercury switch OFF
2008-11-20 00:39:28;cupboard herbs and plates,reed  ON
2008-11-20 00:39:41;cupboard herbs and plates,reed  OFF
2008-11-20 00:39:46;cupboard herbs and plates,reed  ON
2008-11-20 00:39:49;cupboard herbs and plates,reed  OFF
2008-11-20 00:39:54;cupboard herbs and plates,reed  ON
2008-11-20 00:39:55;cupboard herbs and plates,reed  OFF
2008-11-20 00:40:11;couch, pressure mat ON
2008-11-20 00:40:12;couch, pressure mat OFF
2008-11-20 00:40:12;couch, pressure mat ON
2008-11-20 00:40:13;couch, pressure mat OFF
2008-11-20 01:03:44;couch, pressure mat ON
2008-11-20 01:03:45;couch, pressure mat OFF
2008-11-20 01:03:47;couch, pressure mat ON
2008-11-20 01:03:48;couch, pressure mat OFF
2008-11-20 01:08:14;couch, pressure mat ON
2008-11-20 01:08:15;couch, pressure mat OFF
2008-11-20 01:30:24;bathroom swingdoor left ON
2008-11-20 01:30:25;bathroom swingdoor left OFF
2008-11-20 01:32:04;sink upstairs, flush ON
2008-11-20 01:32:08;toilet flush upstairs, flush  ON
2008-11-20 01:33:42;sink upstairs, flush OFF
2008-11-20 01:33:43;sink upstairs, flush ON
2008-11-20 01:33:44;sink upstairs, flush OFF
2008-11-20 01:34:01;bathtub, pir  ON
2008-11-20 01:34:02;bathtub, pir  OFF
2008-11-20 01:34:06;sink upstairs, flush ON
2008-11-20 01:34:07;sink upstairs, flush OFF
2008-11-20 01:34:55;bathtub, pir  ON
2008-11-20 01:34:56;bathtub, pir  OFF
2008-11-20 01:35:03;bathtub, pir  ON
2008-11-20 01:35:12;bathroom swingdoor left ON
2008-11-20 01:35:13;bathroom swingdoor left OFF
2008-11-20 01:35:28;bathroom swingdoor left ON
2008-11-20 01:35:29;bathroom swingdoor left OFF
2008-11-20 01:35:42;bathtub, pir  OFF
2008-11-20 01:35:46;bathtub, pir  ON
2008-11-20 01:36:19;bathroom swingdoor left ON
2008-11-20 01:36:20;bathroom swingdoor left OFF
2008-11-20 01:38:11;bedroom door ON
2008-11-20 01:39:31;bed right, pressure mat ON
2008-11-20 01:39:46;bed right, pressure mat OFF
2008-11-20 01:39:50;bed right, pressure mat ON
2008-11-20 01:39:51;bed right, pressure mat OFF
2008-11-20 01:41:43;bed right, pressure mat ON
2008-11-20 01:41:44;bed right, pressure mat OFF
2008-11-20 01:41:45;bed right, pressure mat ON
2008-11-20 01:41:46;bed right, pressure mat OFF
2008-11-20 01:43:07;bed right, pressure mat ON
2008-11-20 01:43:08;bed right, pressure mat OFF
2008-11-20 01:43:13;bed right, pressure mat ON
2008-11-20 01:43:14;bed right, pressure mat OFF
2008-11-20 01:44:02;bed right, pressure mat ON
2008-11-20 01:44:52;bed right, pressure mat OFF
2008-11-20 01:44:53;bed right, pressure mat ON
2008-11-20 01:44:54;bed right, pressure mat OFF
2008-11-20 01:46:29;bed right, pressure mat ON
2008-11-20 01:46:31;bed right, pressure mat OFF
2008-11-20 01:46:32;bed right, pressure mat ON
2008-11-20 01:46:33;bed right, pressure mat OFF
2008-11-20 01:46:34;bed right, pressure mat ON
2008-11-20 01:46:35;bed right, pressure mat OFF
2008-11-20 01:46:38;bed right, pressure mat ON
2008-11-20 01:46:39;bed right, pressure mat OFF
2008-11-20 01:46:44;bed right, pressure mat ON
2008-11-20 01:46:45;bed right, pressure mat OFF
2008-11-20 01:46:47;bed right, pressure mat ON
