ID	label
5	'bed right, pressure mat'
6	'couch, pressure mat'
7	'freezer, reed'
8	'toilet flush upstairs, flush '
10	'toilet flush downstairs. flush '
11	'badkamer swing doors right'
13	'same as sensor 18'
15	'drawer with keys to backdoor'
16	'bathroom swingdoor left'
18	'cutlary drawer, mercury switch'
20	'cupboard pots and pans, reed '
21	'microwave, reed '
22	'cupboard storage bins, reed '
23	'cupboard herbs and plates,reed '
25	'toilet door downstairs'
27	'cupboard bowl and cups'
28	'frontdoor, reed '
29	'bedroom door'
30	'fridge, reed '
35	'bathtub, pir '
36	'dresser, pir '
38	'sink upstairs, flush'
39	'pressure mat bed left'
