date;label
2017-29-11 07:51;kitchen
2017-29-11 07:59;breakfast
2017-29-11 08:02;coffee
2017-29-11 12:42;kitchen
2017-29-11 12:46;lunch
2017-29-11 13:06;coffee
2017-30-11 07:43;kitchen
2017-30-11 07:57;breakfast
2017-30-11 08:02;coffee
2017-30-11 12:02;kitchen
2017-30-11 12:15;lunch
2017-30-11 12:22;coffee
2017-01-12 08:01;kitchen
2017-01-12 08:05;breakfast
2017-01-12 08:07;coffee
2017-01-12 12:57;kitchen
2017-01-12 13:05;lunch
2017-02-12 08:19;kitchen
2017-02-12 08:20;breakfast
2017-02-12 08:23;coffee
2017-02-12 12:30;kitchen
2017-02-12 12:37;lunch
2017-02-12 12:55;coffee





