date;activity
25-Feb-2008 00:22:46;go_to_bed
25-Feb-2008 09:37:17;use_toilet
25-Feb-2008 09:49:23;prepare_breakfast
25-Feb-2008 10:02:28;take_shower
25-Feb-2008 10:19:06;leave_house
25-Feb-2008 17:00:31;use_toilet
25-Feb-2008 17:54:55;get_drink
25-Feb-2008 18:31:54;use_toilet
25-Feb-2008 19:40:26;prepare_dinner
25-Feb-2008 20:23:12;get_drink
25-Feb-2008 21:51:29;use_toilet
25-Feb-2008 23:21:15;go_to_bed
25-Feb-2008 23:28:30;use_toilet
26-Feb-2008 00:39:24;use_toilet
26-Feb-2008 03:13:40;use_toilet
26-Feb-2008 08:35:59;use_toilet
26-Feb-2008 09:15:40;use_toilet
26-Feb-2008 09:26:42;prepare_breakfast
26-Feb-2008 09:48:07;take_shower
26-Feb-2008 10:05:59;leave_house
26-Feb-2008 21:02:34;use_toilet
26-Feb-2008 21:39:23;get_drink
26-Feb-2008 22:56:00;use_toilet
26-Feb-2008 23:01:33;go_to_bed
27-Feb-2008 05:29:11;use_toilet
27-Feb-2008 08:01:22;prepare_breakfast
27-Feb-2008 08:13:55;use_toilet
27-Feb-2008 08:16:45;take_shower
27-Feb-2008 08:34:25;leave_house
27-Feb-2008 18:59:55;prepare_dinner
27-Feb-2008 19:19:52;get_drink
27-Feb-2008 23:03:23;use_toilet
28-Feb-2008 00:11:06;use_toilet
28-Feb-2008 00:16:16;go_to_bed
28-Feb-2008 07:06:27;use_toilet
28-Feb-2008 09:48:55;use_toilet
28-Feb-2008 09:49:59;prepare_breakfast
28-Feb-2008 10:35:25;use_toilet
28-Feb-2008 10:38:00;take_shower
28-Feb-2008 10:58:02;leave_house
28-Feb-2008 18:48:01;use_toilet
28-Feb-2008 18:53:27;leave_house
28-Feb-2008 21:40:40;use_toilet
28-Feb-2008 23:23:35;use_toilet
28-Feb-2008 23:24:41;go_to_bed
29-Feb-2008 08:03:13;use_toilet
29-Feb-2008 10:22:47;prepare_breakfast
29-Feb-2008 10:30:02;use_toilet
29-Feb-2008 10:30:56;take_shower
29-Feb-2008 10:48:43;leave_house
29-Feb-2008 18:41:13;leave_house
29-Feb-2008 19:24:05;use_toilet
29-Feb-2008 19:44:50;prepare_dinner
29-Feb-2008 22:03:07;leave_house
02-Mar-2008 20:37:06;use_toilet
02-Mar-2008 20:57:26;prepare_dinner
02-Mar-2008 21:57:57;use_toilet
02-Mar-2008 22:03:52;go_to_bed
03-Mar-2008 08:50:25;use_toilet
03-Mar-2008 09:01:33;prepare_breakfast
03-Mar-2008 09:17:14;take_shower
03-Mar-2008 09:44:52;leave_house
04-Mar-2008 09:10:38;use_toilet
04-Mar-2008 09:15:44;leave_house
04-Mar-2008 18:20:30;use_toilet
04-Mar-2008 18:30:26;leave_house
04-Mar-2008 23:44:22;use_toilet
04-Mar-2008 23:52:12;get_drink
05-Mar-2008 00:01:19;use_toilet
05-Mar-2008 00:20:27;use_toilet
05-Mar-2008 00:21:43;go_to_bed
05-Mar-2008 06:00:13;use_toilet
05-Mar-2008 09:28:50;use_toilet
05-Mar-2008 09:29:55;prepare_breakfast
05-Mar-2008 09:45:37;take_shower
05-Mar-2008 10:11:38;leave_house
05-Mar-2008 19:51:29;prepare_dinner
05-Mar-2008 20:13:15;use_toilet
05-Mar-2008 23:07:02;use_toilet
05-Mar-2008 23:32:47;use_toilet
05-Mar-2008 23:33:38;go_to_bed
06-Mar-2008 04:38:02;use_toilet
06-Mar-2008 08:39:35;use_toilet
06-Mar-2008 09:04:05;prepare_breakfast
06-Mar-2008 09:38:48;use_toilet
06-Mar-2008 10:23:14;take_shower
06-Mar-2008 10:37:28;leave_house
06-Mar-2008 17:46:01;get_drink
06-Mar-2008 18:52:41;use_toilet
06-Mar-2008 18:54:04;prepare_dinner
06-Mar-2008 19:40:03;get_drink
06-Mar-2008 21:37:34;get_drink
06-Mar-2008 22:44:15;use_toilet
06-Mar-2008 23:17:37;use_toilet
06-Mar-2008 23:18:34;go_to_bed
07-Mar-2008 06:59:52;use_toilet
07-Mar-2008 08:44:09;use_toilet
07-Mar-2008 08:49:12;get_drink
07-Mar-2008 08:50:11;prepare_breakfast
07-Mar-2008 09:07:38;take_shower
07-Mar-2008 09:28:59;leave_house
08-Mar-2008 01:11:53;get_drink
08-Mar-2008 03:21:30;use_toilet
08-Mar-2008 03:26:01;go_to_bed
