date;activity
2008-02-25 00:22:46;go to bed START
2008-02-25 21:51:29;use toilet START
2008-02-25 21:52:36;use toilet END
2008-02-26 21:02:34;use toilet START
2008-02-26 21:04:02;use toilet END
2008-02-28 18:34:57;leave house END
2008-02-28 18:49:19;brush teeth START
2008-02-28 18:51:28;brush teeth END
2008-02-28 18:53:27;leave house START
2008-02-29 18:18:34;leave house END
2008-02-29 18:41:13;leave house START
2008-02-29 22:03:07;leave house START
2008-03-04 09:15:44;leave house START
2008-03-04 18:28:05;brush teeth START
2008-03-04 18:29:11;brush teeth END
2008-03-04 18:30:26;leave house START
2008-03-04 23:43:46;leave house END
2008-03-04 23:52:12;get drink START
2008-03-04 23:52:48;get drink END
2008-03-05 19:51:29;prepare Dinner START
2008-03-05 20:27:00;prepare Dinner END
2008-03-06 17:46:01;get drink START
2008-03-06 17:46:29;get drink END
2008-03-06 18:54:04;prepare Dinner START
2008-03-06 19:38:33;prepare Dinner END
2008-03-06 19:40:03;get drink START
2008-03-06 19:40:26;get drink END
2008-03-06 21:37:34;get drink START
2008-03-06 21:37:57;get drink END
2008-03-07 08:49:12;get drink START
2008-03-07 08:49:53;get drink END
2008-03-08 01:11:53;get drink START
2008-03-08 01:12:43;get drink END
2008-03-08 03:26:01;go to bed START
2008-03-08 08:21:54;get drink START
2008-03-08 08:22:53;get drink END
2008-03-08 10:26:09;go to bed END
2008-03-10 06:21:27;go to bed START
2008-03-10 09:46:55;take shower START
2008-03-10 09:57:53;take shower END
2008-03-10 19:33:36;prepare Dinner START
2008-03-10 20:10:42;prepare Dinner END
2008-03-10 20:10:53;get drink START
2008-03-10 20:11:24;get drink END
2008-03-10 21:31:58;get drink START
2008-03-10 21:34:54;get drink END
2008-03-11 17:57:51;leave house END
2008-03-11 17:58:06;prepare Dinner START
2008-03-11 18:12:51;prepare Dinner END
2008-03-11 18:16:03;get drink START
2008-03-11 18:16:30;get drink END
2008-03-11 20:48:10;get drink START
2008-03-11 20:53:15;get drink END
2008-03-11 21:13:48;get drink START
2008-03-11 21:14:13;get drink END
2008-03-12 09:59:25;get drink START
2008-03-12 09:59:52;get drink END
2008-03-14 00:38:02;leave house END
2008-03-14 17:13:38;leave house END
2008-03-15 10:40:17;use toilet START
2008-03-15 10:41:44;use toilet END
2008-03-15 14:34:51;take shower START
2008-03-15 14:46:27;take shower END
2008-03-15 18:15:12;prepare Dinner START
2008-03-15 18:39:46;prepare Dinner END
2008-03-15 18:55:11;get drink START
2008-03-15 18:55:46;get drink END
2008-03-16 10:42:03;take shower START
2008-03-16 10:49:59;take shower END
2008-03-17 19:43:51;prepare Dinner START
2008-03-17 20:15:37;prepare Dinner END
2008-03-17 20:17:08;get drink START
2008-03-17 20:17:17;get drink END
2008-03-17 21:33:42;get drink START
2008-03-17 21:33:58;get drink END
2008-03-18 06:23:14;use toilet START
2008-03-18 06:23:59;use toilet END
2008-03-18 08:39:32;take shower START
2008-03-18 08:52:30;take shower END
2008-03-18 23:39:56;leave house END
2008-03-19 17:15:17;leave house END
2008-03-20 23:58:42;use toilet START
2008-03-20 23:59:27;use toilet END
2008-03-21 09:13:22;use toilet START
2008-03-21 09:15:33;use toilet END
2008-03-21 17:03:48;go to bed START
