date;activity
2009-07-24 20:21:50;Prepare dinner START
2009-07-24 20:39:39;Prepare dinner END
2009-07-24 21:19:54;Brush teeth START
2009-07-24 21:22:36;Brush teeth END
2009-07-25 07:04:19;Go to bed START
2009-07-25 11:08:51;Use toilet START
2009-07-25 11:09:45;Use toilet END
2009-07-25 13:15:06;Brush teeth START
2009-07-25 13:17:02;Brush teeth END
2009-07-26 09:32:18;Go to bed END
2009-07-26 15:41:14;Use toilet START
2009-07-26 15:41:18;Use toilet END
2009-07-26 15:54:27;Brush teeth START
2009-07-26 15:56:07;Brush teeth END
2009-07-29 11:17:28;Leaving the house START
2009-07-29 11:51:30;Leaving the house END
2009-07-29 13:12:36;Leaving the house START
2009-07-29 13:31:01;Leaving the house END
2009-07-29 19:11:10;Leaving the house START
2009-07-30 11:18:27;Use toilet START
2009-07-30 11:19:12;Use toilet END
2009-07-30 17:12:11;Get a drink START
2009-07-30 17:12:58;Get a drink END
2009-07-30 17:13:51;Leaving the house START
2009-07-31 09:45:23;Use toilet START
2009-07-31 09:46:23;Use toilet END
2009-07-31 09:46:49;Prepare brunch START
2009-07-31 09:51:23;Prepare brunch END
2009-07-31 22:21:20;Get a drink START
2009-07-31 22:22:05;Get a drink END
2009-08-01 22:15:05;Prepare dinner START
2009-08-01 22:38:28;Prepare dinner END
2009-08-02 09:27:11;Use toilet START
2009-08-02 09:28:05;Use toilet END
2009-08-02 09:28:30;Prepare dinner START
2009-08-02 09:34:49;Prepare dinner END
2009-08-02 09:45:03;Use toilet START
2009-08-02 09:45:33;Use toilet END
2009-08-02 10:55:17;Leaving the house START
2009-08-02 14:41:06;Use toilet START
2009-08-02 14:43:02;Use toilet END
2009-08-04 15:11:53;Get a drink START
2009-08-04 15:13:26;Get a drink END
2009-08-05 00:11:06;Go to bed START
2009-08-05 12:42:50;Prepare brunch START
2009-08-05 12:51:28;Prepare brunch END
2009-08-05 13:47:53;Use toilet START
2009-08-05 13:48:06;Use toilet END
2009-08-05 14:11:09;Take shower START
2009-08-05 14:21:51;Take shower END
2009-08-05 16:40:03;Leaving the house START
2009-08-06 19:17:50;Leaving the house END
2009-08-06 19:18:41;Leaving the house START
