Episode;Period;Description;Validity Duration;Start Time;End Time;Compression Power;Accuracy
('Use toilet END', 'Use toilet START');1 day, 0:00:00;{'11:53:47.644568': '1:56:13', '23:51:51.998780': '1:56:13', '5:24:47.074522': '1:56:13'};11 days, 12:38:52;2009-07-25 11:08:51;2009-08-05 23:47:43;38;0.543
('Leaving the house END',);1 day, 0:00:00;{'16:01:10.701039': '2:14:08', '1:03:30.723591': '2:14:08'};14 days, 5:14:09;2009-07-24 18:32:57;2009-08-07 23:47:06;21;0.7
('Take shower END', 'Take shower START');1 day, 0:00:00;{'11:46:35.750000': '1:03:42'};7 days, 21:24:15;2009-07-25 13:03:31;2009-08-02 10:27:46;16;0.889
('Leaving the house START',);1 day, 0:00:00;{'14:54:34.999777': '2:44:43', '5:07:24.275423': '2:44:43'};13 days, 21:27:51;2009-07-24 16:46:19;2009-08-07 14:14:10;16;0.552
('Brush teeth END', 'Brush teeth START', 'Go to bed START');1 day, 0:00:00;{'0:39:19.250000': '1:59:37'};9 days, 0:23:09;2009-07-27 23:22:11;2009-08-05 23:45:20;24;0.727
('Prepare brunch END', 'Prepare brunch START');1 day, 0:00:00;{'10:59:04.375000': '0:50:19'};7 days, 0:04:40;2009-07-25 11:13:25;2009-08-01 11:18:05;14;0.875
('Go to bed END',);1 day, 0:00:00;{'10:42:39.222024': '1:07:39', '5:38:37.434281': '1:07:39'};11 days, 21:31:52;2009-07-25 06:54:01;2009-08-06 04:25:53;13;0.52
('Brush teeth END', 'Brush teeth START');1 day, 0:00:00;{'10:57:36': '0:20:26'};1 day, 23:19:10;2009-07-31 11:18:01;2009-08-02 10:37:11;4;0.667
('Get a drink END', 'Get a drink START');1 day, 0:00:00;{'13:41:27.500000': '0:48:15'};2 days, 16:06:16;2009-07-24 20:46:57;2009-07-27 12:53:13;4;0.667
('Go to bed START',);1 day, 0:00:00;{'4:37:41.500000': '1:35:53'};2 days, 2:04:26;2009-07-25 02:54:18;2009-07-27 04:58:44;3;1.0
('Prepare dinner END',);1 day, 0:00:00;{'18:26:34.666667': '0:15:29'};23:29:42;2009-07-28 18:48:18;2009-07-29 18:18:00;2;1.0
('Prepare dinner END', 'Prepare dinner START');1 day, 0:00:00;{'18:12:23': '0:02:41'};0:05:20;2009-07-29 18:09:43;2009-07-29 18:15:03;2;1.0
('Prepare dinner START',);1 day, 0:00:00;{'18:13:50': '0:03:00'};23:58:19;2009-07-28 18:16:44;2009-07-29 18:15:03;2;1.0
