date;end_date;label
2010-11-04 00:03:50.209589;2010-11-04 05:40:43.642664;sleeping
2010-11-04 08:11:09.966157;2010-11-04 08:27:02.801314;meal_preparation
2010-11-04 08:33:52.929406;2010-11-04 08:35:45.822482;meal_preparation
2010-11-04 09:29:23.223133;2010-11-04 09:34:05.780570;relax
2010-11-04 09:34:16.851472;2010-11-04 09:44:40.315639;housekeeping
2010-11-04 09:48:52.342223;2010-11-04 09:53:02.954445;meal_preparation
2010-11-04 09:54:58.753743;2010-11-04 09:56:27.334395;meal_preparation
2010-11-04 09:56:41.831135;2010-11-04 09:59:04.438334;eating
2010-11-04 09:59:47.894921;2010-11-04 10:02:48.972200;eating
2010-11-04 10:03:21.966597;2010-11-04 10:04:25.772378;wash_dishes
2010-11-04 11:29:08.108298;2010-11-04 11:33:48.313567;housekeeping
2010-11-04 11:41:34.029848;2010-11-04 11:41:43.345957;leave_home
2010-11-04 11:43:30.094537;2010-11-04 11:43:34.683398;enter_home
2010-11-04 14:46:25.648668;2010-11-04 15:13:24.311043;relax
2010-11-04 15:23:00.012287;2010-11-04 15:25:33.571046;meal_preparation
2010-11-04 15:25:35.233346;2010-11-04 15:28:42.550415;eating
2010-11-04 15:47:48.178484;2010-11-04 16:10:33.632772;work
2010-11-04 16:15:57.476492;2010-11-04 16:21:58.473670;relax
2010-11-04 16:21:59.792013;2010-11-04 16:31:26.780941;meal_preparation
2010-11-04 16:32:53.242196;2010-11-04 16:34:13.718409;meal_preparation
2010-11-04 16:36:10.081963;2010-11-04 17:06:00.365984;meal_preparation
2010-11-04 17:06:21.690589;2010-11-04 17:27:12.160580;relax
2010-11-04 17:27:13.899589;2010-11-04 17:27:55.351855;meal_preparation
2010-11-04 17:28:26.929572;2010-11-04 17:33:54.754187;relax
2010-11-04 17:35:16.153016;2010-11-04 17:37:11.693732;eating
2010-11-04 17:37:24.341684;2010-11-04 17:55:20.509057;wash_dishes
2010-11-04 17:55:24.901401;2010-11-04 17:57:47.397780;work
2010-11-05 00:00:11.187975;2010-11-05 04:18:05.416805;sleeping
2010-11-05 07:54:57.970369;2010-11-05 07:58:23.566091;meal_preparation
2010-11-05 07:58:49.065697;2010-11-05 08:00:59.944280;work
2010-11-05 08:22:17.676499;2010-11-05 08:35:20.117954;work
2010-11-05 08:35:50.265168;2010-11-05 08:57:18.702855;work
2010-11-05 09:04:06.011468;2010-11-05 09:05:14.891311;work
2010-11-05 09:26:22.307149;2010-11-05 09:30:15.583194;work
2010-11-05 09:35:08.728049;2010-11-05 09:37:03.463118;relax
2010-11-05 09:42:01.926042;2010-11-05 11:12:02.564360;housekeeping
2010-11-05 11:14:14.724634;2010-11-05 11:14:43.114534;leave_home
2010-11-05 12:48:12.332642;2010-11-05 12:48:16.949591;enter_home
2010-11-05 12:59:38.064949;2010-11-05 13:00:23.781043;leave_home
2010-11-05 13:00:33.391399;2010-11-05 13:01:23.042940;enter_home
2010-11-05 13:25:15.390393;2010-11-05 13:25:20.021554;leave_home
2010-11-05 13:27:35.194985;2010-11-05 13:30:09.241181;work
2010-11-05 13:38:02.788861;2010-11-05 13:45:53.711039;relax
2010-11-05 15:50:59.393661;2010-11-05 15:51:04.444616;enter_home
2010-11-05 16:00:09.934144;2010-11-05 16:00:14.165238;leave_home
2010-11-05 16:21:25.905454;2010-11-05 16:25:35.478871;meal_preparation
2010-11-05 16:25:44.067607;2010-11-05 16:29:13.880311;eating
2010-11-05 16:29:30.826602;2010-11-05 16:30:21.137501;wash_dishes
2010-11-05 16:30:40.898509;2010-11-05 16:30:45.401690;leave_home
2010-11-05 16:30:56.014672;2010-11-05 16:31:00.293569;enter_home
2010-11-05 22:20:33.945948;2010-11-05 22:38:23.755897;work
2010-11-05 22:48:22.713829;2010-11-06 04:23:40.440892;sleeping
2010-11-06 09:09:44.374728;2010-11-06 09:19:14.719135;meal_preparation
2010-11-06 09:21:10.829516;2010-11-06 09:28:18.535625;meal_preparation
2010-11-06 09:28:19.566626;2010-11-06 09:37:40.974527;eating
2010-11-06 09:38:24.364374;2010-11-06 09:41:18.711268;wash_dishes
2010-11-06 10:28:15.508737;2010-11-06 10:30:39.829044;work
2010-11-06 10:36:44.701754;2010-11-06 11:11:04.974456;housekeeping
2010-11-06 11:11:08.204165;2010-11-06 11:25:23.510404;relax
2010-11-06 11:25:43.063825;2010-11-06 11:48:21.532025;housekeeping
2010-11-06 11:55:15.837614;2010-11-06 11:56:11.347205;meal_preparation
2010-11-06 11:58:12.195368;2010-11-06 12:02:08.363476;meal_preparation
2010-11-06 12:02:29.411879;2010-11-06 12:09:53.753134;eating
2010-11-06 12:09:59.911038;2010-11-06 12:11:57.556951;wash_dishes
2010-11-06 12:35:50.690281;2010-11-06 12:49:00.074717;eating
