date;end_date;label
2010-11-05 00:00:00.000000;2010-11-05 05:00:54.094076;sleeping
2010-11-05 05:00:54.094076;2010-11-05 05:04:52.486243;meal_preparation
2010-11-05 05:04:52.486243;2010-11-05 05:07:52.214618;bed_to_toilet
2010-11-05 05:10:23.486243;2010-11-05 07:52:41.956057;sleeping
2010-11-05 07:47:10.956057;2010-11-05 07:47:18.880185;leave_home
2010-11-05 07:47:18.880185;2010-11-05 07:51:38.148687;eating
2010-11-05 07:51:38.148687;2010-11-05 07:51:46.072815;leave_home
2010-11-05 07:51:46.072815;2010-11-05 07:51:53.996943;leave_home
2010-11-05 07:51:53.996943;2010-11-05 07:56:30.266238;meal_preparation
2010-11-05 07:56:30.266238;2010-11-05 08:06:14.474452;relax
2010-11-05 08:06:14.474452;2010-11-05 08:18:25.468209;work
2010-11-05 08:18:25.468209;2010-11-05 08:18:33.851532;leave_home
2010-11-05 08:18:33.851532;2010-11-05 08:29:16.104258;relax
2010-11-05 08:29:16.104258;2010-11-05 08:39:58.356984;relax
2010-11-05 08:39:58.356984;2010-11-05 08:51:24.763661;relax
2010-11-05 08:51:24.763661;2010-11-05 09:01:44.068646;work
2010-11-05 09:01:44.068646;2010-11-05 09:14:46.990263;relax
2010-11-05 09:14:46.990263;2010-11-05 09:20:27.416345;eating
2010-11-05 09:20:27.416345;2010-11-05 09:25:18.632846;meal_preparation
2010-11-05 09:25:18.632846;2010-11-05 10:06:34.001389;housekeeping
2010-11-05 10:06:34.001389;2010-11-05 10:21:46.063648;relax
2010-11-05 10:21:46.063647;2010-11-05 10:21:53.060637;leave_home
2010-11-05 10:21:53.060637;2010-11-05 10:22:00.179393;leave_home
2010-11-05 10:20:12.060637;2010-11-05 10:20:19.033736;enter_home
2010-11-05 10:23:41.179393;2010-11-05 10:28:22.960771;meal_preparation
2010-11-05 10:28:22.960771;2010-11-05 10:37:01.783362;eating
2010-11-05 10:37:01.783362;2010-11-05 10:52:23.186570;relax
2010-11-05 10:52:23.186570;2010-11-05 11:07:38.429627;relax
2010-11-05 11:07:38.429627;2010-11-05 11:22:43.747442;relax
2010-11-05 11:22:43.747442;2010-11-05 11:40:05.092242;work
2010-11-05 11:40:05.092243;2010-11-05 11:40:11.559645;leave_home
2010-11-05 11:40:11.559644;2010-11-05 11:54:58.771128;relax
2010-11-05 11:54:58.771128;2010-11-05 12:09:44.434867;relax
2010-11-05 12:09:44.434867;2010-11-05 12:09:47.882139;enter_home
2010-11-05 12:07:22.434867;2010-11-05 12:19:44.913446;meal_preparation
2010-11-05 12:22:06.913446;2010-11-05 12:37:18.390614;relax
2010-11-05 12:37:18.390614;2010-11-05 12:37:21.649218;enter_home
2010-11-05 12:39:00.390614;2010-11-05 12:51:05.733926;meal_preparation
2010-11-05 12:49:23.733926;2010-11-05 12:49:32.192463;leave_home
2010-11-05 12:49:43.733926;2010-11-05 12:49:51.168174;enter_home
2010-11-05 12:49:31.168174;2010-11-05 13:05:56.873799;relax
2010-11-05 13:05:56.873799;2010-11-05 13:06:05.092027;leave_home
2010-11-05 13:12:06.873799;2010-11-05 13:12:14.461448;enter_home
2010-11-05 13:06:04.461448;2010-11-05 13:10:26.967736;meal_preparation
2010-11-05 13:10:26.967736;2010-11-05 13:14:49.474024;meal_preparation
2010-11-05 13:14:49.474024;2010-11-05 13:32:10.443749;relax
2010-11-05 13:32:10.443749;2010-11-05 13:51:49.190849;relax
2010-11-05 13:51:49.190849;2010-11-05 14:15:43.670116;work
2010-11-05 14:15:43.670116;2010-11-05 14:39:06.085923;relax
2010-11-05 14:39:06.085922;2010-11-05 15:03:31.344817;relax
2010-11-05 15:03:31.344817;2010-11-05 15:29:22.343312;relax
2010-11-05 15:29:22.343312;2010-11-05 15:29:28.530449;leave_home
2010-11-05 15:29:28.530449;2010-11-05 15:55:37.417684;relax
2010-11-05 15:55:37.417685;2010-11-05 16:21:27.894719;relax
2010-11-05 16:21:27.894719;2010-11-05 16:45:56.750205;relax
2010-11-05 16:45:56.750205;2010-11-05 17:08:27.964336;relax
2010-11-05 17:08:27.964335;2010-11-05 17:27:28.875701;work
2010-11-05 17:27:28.875701;2010-11-05 17:33:58.171118;meal_preparation
2010-11-05 17:33:58.171118;2010-11-05 17:53:54.134665;relax
2010-11-05 17:53:54.134665;2010-11-05 18:13:25.178799;relax
2010-11-05 18:13:25.178799;2010-11-05 18:19:40.324174;meal_preparation
2010-11-05 18:19:40.324174;2010-11-05 18:39:26.407064;relax
2010-11-05 18:39:26.407064;2010-11-05 18:45:15.388212;meal_preparation
2010-11-05 18:45:15.388212;2010-11-05 18:50:46.057320;meal_preparation
2010-11-05 18:50:46.057320;2010-11-05 19:12:25.250226;relax
2010-11-05 19:12:25.250227;2010-11-05 19:27:03.319708;eating
2010-11-05 19:27:03.319708;2010-11-05 19:52:06.603647;relax
2010-11-05 19:52:06.603646;2010-11-05 20:21:34.759892;relax
