date;end_date;label
2010-11-05 00:00:00.000000;2010-11-05 01:15:25.596065;relax
2010-11-05 01:15:25.596065;2010-11-05 01:18:45.596065;bed_to_toilet
2010-11-05 01:20:35.596065;2010-11-05 03:54:44.596065;sleeping
2010-11-05 03:54:44.596065;2010-11-05 03:57:51.596065;bed_to_toilet
2010-11-05 04:00:36.596065;2010-11-05 06:51:18.596065;sleeping
2010-11-05 06:51:18.596065;2010-11-05 07:16:31.210943;relax
2010-11-05 07:16:31.210943;2010-11-05 07:17:18.996745;meal_preparation
2010-11-05 07:17:18.996745;2010-11-05 07:22:35.605724;meal_preparation
2010-11-05 07:22:35.605724;2010-11-05 07:27:16.469700;meal_preparation
2010-11-05 07:27:16.469699;2010-11-05 07:45:58.890061;meal_preparation
2010-11-05 07:45:58.890061;2010-11-05 07:55:05.476564;meal_preparation
2010-11-05 07:55:05.476564;2010-11-05 08:41:27.758686;relax
2010-11-05 08:41:27.758686;2010-11-05 08:56:04.527558;meal_preparation
2010-11-05 08:56:04.527558;2010-11-05 09:16:22.117522;relax
2010-11-05 09:16:22.117522;2010-11-05 09:35:49.310102;relax
2010-11-05 09:35:49.310102;2010-11-05 09:44:01.565963;wash_dishes
2010-11-05 09:44:01.565964;2010-11-05 09:48:02.771922;meal_preparation
2010-11-05 09:48:02.771922;2010-11-05 09:59:51.848814;meal_preparation
2010-11-05 09:59:51.848814;2010-11-05 10:13:27.018007;work
2010-11-05 10:13:27.018007;2010-11-05 10:21:37.687490;meal_preparation
2010-11-05 10:21:37.687490;2010-11-05 10:21:42.424676;leave_home
2010-11-05 10:21:42.424676;2010-11-05 10:58:24.822827;relax
2010-11-05 10:58:24.822827;2010-11-05 10:58:45.719703;leave_home
2010-11-05 10:58:45.719703;2010-11-05 10:58:50.719703;leave_home
2010-11-05 10:50:10.719703;2010-11-05 10:50:12.719703;enter_home
2010-11-05 10:58:50.719703;2010-11-05 11:13:06.434758;work
2010-11-05 11:13:06.434758;2010-11-05 11:25:17.788157;meal_preparation
2010-11-05 11:25:17.788157;2010-11-05 11:25:23.132128;leave_home
2010-11-05 11:25:23.132129;2010-11-05 11:25:27.776494;leave_home
2010-11-05 11:25:27.776493;2010-11-05 11:25:30.776493;enter_home
2010-11-05 11:38:25.776493;2010-11-05 11:38:29.776493;leave_home
2010-11-05 11:38:29.776493;2010-11-05 11:46:38.708597;meal_preparation
2010-11-05 11:46:38.708597;2010-11-05 11:46:45.708597;enter_home
2010-11-05 11:51:39.708597;2010-11-05 11:48:58.708597;meal_preparation
2010-11-05 11:48:58.708597;2010-11-05 12:03:38.301102;relax
2010-11-05 12:03:38.301102;2010-11-05 12:26:36.918058;relax
2010-11-05 12:26:36.918058;2010-11-05 12:26:47.918058;enter_home
2010-11-05 12:38:08.918058;2010-11-05 12:35:49.918058;meal_preparation
2010-11-06 00:00:00.000000;2010-11-06 00:00:09.000000;enter_home
2010-11-06 00:13:31.000000;2010-11-06 00:30:05.000000;meal_preparation
2010-11-06 00:30:05.000000;2010-11-06 07:55:20.129876;sleeping
2010-11-06 07:55:20.129876;2010-11-06 07:59:40.913638;meal_preparation
2010-11-06 07:59:40.913638;2010-11-06 08:30:40.363131;relax
2010-11-06 08:30:40.363131;2010-11-06 08:52:58.854230;relax
2010-11-06 08:52:58.854230;2010-11-06 09:00:47.481276;meal_preparation
2010-11-06 09:00:47.481276;2010-11-06 09:29:17.596474;relax
2010-11-06 09:29:17.596474;2010-11-06 10:09:18.932354;meal_preparation
2010-11-06 10:09:18.932354;2010-11-06 10:24:42.256600;meal_preparation
2010-11-06 10:24:42.256600;2010-11-06 10:31:10.018814;meal_preparation
2010-11-06 10:31:10.018814;2010-11-06 10:45:42.534306;eating
2010-11-06 10:45:42.534306;2010-11-06 11:10:40.040958;wash_dishes
2010-11-06 11:10:40.040958;2010-11-06 11:10:47.040958;leave_home
2010-11-06 11:20:59.040958;2010-11-06 11:21:06.040958;enter_home
2010-11-06 11:21:06.040958;2010-11-06 11:21:10.087678;leave_home
2010-11-06 11:21:10.087678;2010-11-06 11:21:15.793200;leave_home
2010-11-06 11:21:15.793199;2010-11-06 11:21:24.793199;leave_home
2010-11-06 11:20:11.793199;2010-11-06 11:20:20.793199;enter_home
2010-11-06 11:21:24.793199;2010-11-06 11:32:59.438964;relax
2010-11-06 11:32:59.438964;2010-11-06 11:33:00.444582;leave_home
2010-11-06 11:33:00.444583;2010-11-06 11:40:01.984332;meal_preparation
2010-11-06 11:40:01.984331;2010-11-06 11:40:16.233434;leave_home
2010-11-06 11:40:16.233434;2010-11-06 11:57:52.845292;relax
2010-11-06 11:57:52.845291;2010-11-06 11:59:45.714313;relax
2010-11-06 11:59:45.714313;2010-11-06 11:59:49.681503;enter_home
2010-11-06 11:59:49.681503;2010-11-06 12:05:15.919638;meal_preparation
2010-11-06 12:05:15.919638;2010-11-06 12:41:13.538367;relax
2010-11-06 12:41:13.538367;2010-11-06 13:04:06.902365;relax
2010-11-06 13:04:06.902365;2010-11-06 13:04:07.902365;enter_home
2010-11-06 13:12:46.902365;2010-11-06 13:33:54.902365;meal_preparation
2010-11-07 00:00:00.000000;2010-11-07 00:00:07.000000;enter_home
2010-11-07 00:06:20.000000;2010-11-07 00:25:18.000000;meal_preparation
2010-11-07 00:25:18.000000;2010-11-07 06:20:49.117895;sleeping
2010-11-07 06:20:49.117894;2010-11-07 06:48:59.739850;relax
