date;end_date;label
2010-11-05 00:00:00.000000;2010-11-05 02:05:51.008086;sleeping
2010-11-05 02:05:51.008086;2010-11-05 04:24:58.773149;sleeping
2010-11-05 04:24:58.773149;2010-11-05 04:28:09.439118;bed_to_toilet
2010-11-05 04:28:09.439118;2010-11-05 04:31:46.944403;bed_to_toilet
2010-11-05 04:31:46.944403;2010-11-05 04:33:47.146551;bed_to_toilet
2010-11-05 04:33:47.146551;2010-11-05 07:19:40.718772;sleeping
2010-11-05 07:19:40.718771;2010-11-05 07:37:20.023466;relax
2010-11-05 07:37:20.023466;2010-11-05 07:38:53.872288;meal_preparation
2010-11-05 07:38:53.872288;2010-11-05 08:14:53.066463;relax
2010-11-05 08:14:53.066464;2010-11-05 08:32:59.322037;relax
2010-11-05 08:32:59.322036;2010-11-05 08:53:51.087058;relax
2010-11-05 08:53:51.087058;2010-11-05 09:05:14.230809;relax
2010-11-05 09:05:14.230809;2010-11-05 09:08:58.151408;meal_preparation
2010-11-05 09:08:58.151408;2010-11-05 09:14:42.613487;meal_preparation
2010-11-05 09:14:42.613486;2010-11-05 09:18:16.333452;meal_preparation
2010-11-05 09:18:16.333452;2010-11-05 09:41:58.633259;eating
2010-11-05 09:41:58.633259;2010-11-05 09:48:26.245184;meal_preparation
2010-11-05 09:48:26.245184;2010-11-05 09:58:29.138572;eating
2010-11-05 09:58:29.138573;2010-11-05 10:04:46.099896;work
2010-11-05 10:04:46.099895;2010-11-05 10:40:49.835933;relax
2010-11-05 10:40:49.835933;2010-11-05 10:41:37.393410;meal_preparation
2010-11-05 10:41:37.393411;2010-11-05 10:54:26.718203;relax
2010-11-05 10:54:26.718203;2010-11-05 10:54:40.601736;leave_home
2010-11-05 10:54:40.601736;2010-11-05 11:13:43.857769;relax
2010-11-05 11:13:43.857768;2010-11-05 11:21:09.805091;meal_preparation
2010-11-05 11:21:09.805091;2010-11-05 11:58:27.238938;relax
2010-11-05 11:58:27.238938;2010-11-05 12:39:21.621780;relax
2010-11-05 12:39:21.621780;2010-11-05 12:47:25.914499;eating
2010-11-05 12:47:25.914499;2010-11-05 12:47:30.634096;leave_home
2010-11-05 12:47:30.634096;2010-11-05 13:15:22.557881;meal_preparation
2010-11-05 13:15:22.557881;2010-11-05 13:33:33.100004;meal_preparation
2010-11-05 13:33:33.100004;2010-11-05 15:39:35.981239;relax
2010-11-05 15:39:35.981239;2010-11-05 16:09:51.434130;meal_preparation
2010-11-05 16:09:51.434130;2010-11-05 16:42:45.329440;relax
2010-11-05 16:42:45.329440;2010-11-05 16:57:39.054457;relax
2010-11-05 16:57:39.054457;2010-11-05 17:38:35.776643;relax
2010-11-05 17:38:35.776643;2010-11-05 17:44:08.747088;wash_dishes
2010-11-05 17:44:08.747088;2010-11-05 17:47:19.308160;meal_preparation
2010-11-05 17:47:19.308161;2010-11-05 18:58:26.689344;relax
2010-11-05 18:58:26.689343;2010-11-05 19:11:18.383142;relax
2010-11-05 19:11:18.383142;2010-11-05 20:21:00.105457;relax
2010-11-05 20:21:00.105457;2010-11-05 21:20:57.126078;relax
2010-11-05 21:20:57.126079;2010-11-05 21:26:16.298190;relax
2010-11-05 21:26:16.298190;2010-11-05 22:01:22.384012;relax
2010-11-05 22:01:22.384011;2010-11-05 23:42:00.240030;relax
2010-11-05 23:42:00.240031;2010-11-06 01:31:33.477559;sleeping
2010-11-06 01:31:33.477559;2010-11-06 01:35:50.065120;bed_to_toilet
2010-11-06 01:35:50.065120;2010-11-06 05:57:30.298706;sleeping
2010-11-06 05:57:30.298705;2010-11-06 06:47:21.875076;relax
2010-11-06 06:47:21.875077;2010-11-06 07:20:31.185539;relax
2010-11-06 07:20:31.185539;2010-11-06 07:37:12.045078;relax
2010-11-06 07:37:12.045077;2010-11-06 08:29:38.150484;relax
2010-11-06 08:29:38.150484;2010-11-06 08:29:43.999505;leave_home
2010-11-06 08:29:43.999505;2010-11-06 08:38:40.888082;relax
2010-11-06 08:38:40.888082;2010-11-06 08:43:33.657020;meal_preparation
2010-11-06 08:43:33.657020;2010-11-06 08:50:13.582969;meal_preparation
2010-11-06 08:50:13.582969;2010-11-06 08:59:18.317227;meal_preparation
2010-11-06 08:59:18.317226;2010-11-06 09:20:48.458249;relax
2010-11-06 09:20:48.458249;2010-11-06 09:24:41.734294;work
2010-11-06 09:24:41.734294;2010-11-06 09:43:24.957462;relax
2010-11-06 09:43:24.957462;2010-11-06 09:48:52.739834;eating
2010-11-06 09:48:52.739834;2010-11-06 09:48:58.388844;leave_home
2010-11-06 09:48:58.388844;2010-11-06 09:56:23.921869;meal_preparation
2010-11-06 09:56:23.921869;2010-11-06 09:56:27.155692;enter_home
2010-11-06 09:56:27.155692;2010-11-06 09:56:31.904782;meal_preparation
