date;end_date;label
2010-11-05 00:00:00.000000;2010-11-05 00:29:24.074642;relax
2010-11-05 00:29:24.074642;2010-11-05 04:43:26.523912;sleeping
2010-11-05 04:43:26.523911;2010-11-05 04:47:21.510573;meal_preparation
2010-11-05 04:47:21.510574;2010-11-05 07:02:12.671243;sleeping
2010-11-05 07:02:12.671243;2010-11-05 07:12:42.483556;relax
2010-11-05 07:12:42.483556;2010-11-05 07:22:45.264363;relax
2010-11-05 07:22:45.264362;2010-11-05 07:26:59.315977;meal_preparation
2010-11-05 07:26:59.315977;2010-11-05 07:31:19.838179;eating
2010-11-05 07:31:19.838179;2010-11-05 07:35:37.327872;meal_preparation
2010-11-05 07:35:37.327872;2010-11-05 07:45:15.703929;relax
2010-11-05 07:45:15.703929;2010-11-05 07:54:59.912143;relax
2010-11-05 07:54:59.912143;2010-11-05 07:59:20.420427;eating
2010-11-05 07:59:20.420426;2010-11-05 08:09:17.994967;relax
2010-11-05 08:09:17.994967;2010-11-05 08:19:35.332925;relax
2010-11-05 08:19:35.332925;2010-11-05 08:24:06.373723;meal_preparation
2010-11-05 08:24:06.373723;2010-11-05 08:24:11.689529;enter_home
2010-11-05 08:24:11.689529;2010-11-05 08:28:43.903253;meal_preparation
2010-11-05 08:28:43.903253;2010-11-05 08:39:54.910255;relax
2010-11-05 08:39:54.910254;2010-11-05 08:44:30.124358;meal_preparation
2010-11-05 08:44:30.124358;2010-11-05 08:56:28.547726;relax
2010-11-05 08:56:28.547726;2010-11-05 09:09:15.658737;relax
2010-11-05 09:09:15.658737;2010-11-05 09:13:54.440921;meal_preparation
2010-11-05 09:13:54.440921;2010-11-05 09:27:27.555174;relax
2010-11-05 09:27:27.555173;2010-11-05 09:41:40.717599;relax
2010-11-05 09:41:40.717599;2010-11-05 09:56:25.599190;relax
2010-11-05 09:56:25.599190;2010-11-05 10:01:04.305233;meal_preparation
2010-11-05 10:01:04.305233;2010-11-05 10:16:16.367492;relax
2010-11-05 10:16:16.367492;2010-11-05 10:20:53.933013;meal_preparation
2010-11-05 10:20:53.933013;2010-11-05 10:25:31.200210;meal_preparation
2010-11-05 10:25:31.200210;2010-11-05 10:25:36.348907;enter_home
2010-11-05 10:25:36.348907;2010-11-05 10:30:13.326648;meal_preparation
2010-11-05 10:30:13.326648;2010-11-05 10:34:50.030637;meal_preparation
2010-11-05 10:34:50.030636;2010-11-05 11:06:38.307835;housekeeping
2010-11-05 11:06:38.307836;2010-11-05 11:21:40.029275;relax
2010-11-05 11:21:40.029275;2010-11-05 11:36:31.849277;relax
2010-11-05 11:36:31.849277;2010-11-05 11:36:38.950456;leave_home
2010-11-05 11:36:38.950456;2010-11-05 11:41:16.088703;meal_preparation
2010-11-05 11:41:16.088703;2010-11-05 11:56:01.405707;relax
2010-11-05 11:56:01.405707;2010-11-05 12:10:50.842213;relax
2010-11-05 12:10:50.842213;2010-11-05 12:10:56.046121;enter_home
2010-11-05 12:10:56.046121;2010-11-05 12:26:00.045946;relax
2010-11-05 12:26:00.045946;2010-11-05 12:47:15.052140;work
2010-11-05 12:47:15.052140;2010-11-05 13:03:40.757765;relax
2010-11-05 13:03:40.757765;2010-11-05 13:21:01.727490;relax
2010-11-05 13:21:01.727490;2010-11-05 13:26:03.303424;meal_preparation
2010-11-05 13:26:03.303423;2010-11-05 13:49:29.791116;work
2010-11-05 13:49:29.791116;2010-11-05 14:10:24.780239;relax
2010-11-05 14:10:24.780239;2010-11-05 14:15:44.947058;meal_preparation
2010-11-05 14:15:44.947059;2010-11-05 14:15:50.726973;leave_home
2010-11-05 14:15:50.726973;2010-11-05 14:39:13.142780;relax
2010-11-05 14:39:13.142779;2010-11-05 14:39:18.955910;enter_home
2010-11-05 14:39:18.955910;2010-11-05 14:39:24.769041;enter_home
2010-11-05 14:39:24.769041;2010-11-05 14:44:54.893121;meal_preparation
2010-11-05 14:44:54.893122;2010-11-05 14:45:00.619754;leave_home
2010-11-05 14:45:00.619754;2010-11-05 15:10:16.401678;relax
2010-11-05 15:10:16.401678;2010-11-05 15:16:00.772142;meal_preparation
2010-11-05 15:16:00.772142;2010-11-05 15:21:47.177746;meal_preparation
2010-11-05 15:21:47.177746;2010-11-05 15:47:57.991504;relax
2010-11-05 15:47:57.991504;2010-11-05 15:48:04.732484;enter_home
2010-11-05 15:48:04.732484;2010-11-05 15:54:03.064164;meal_preparation
2010-11-05 15:54:03.064163;2010-11-05 15:54:09.843024;enter_home
2010-11-05 15:54:09.843024;2010-11-05 15:54:16.621885;enter_home
2010-11-05 15:54:16.621885;2010-11-05 16:19:57.364861;relax
2010-11-05 16:19:57.364861;2010-11-05 16:26:06.340211;meal_preparation
2010-11-05 16:26:06.340211;2010-11-05 16:32:18.311192;meal_preparation
2010-11-05 16:32:18.311192;2010-11-05 16:55:50.543589;relax
2010-11-05 16:55:50.543589;2010-11-05 17:17:41.270628;relax
2010-11-05 17:17:41.270628;2010-11-05 17:24:00.284754;meal_preparation
2010-11-05 17:24:00.284753;2010-11-05 17:44:22.440971;relax
2010-11-05 17:44:22.440971;2010-11-05 18:03:59.666397;relax
2010-11-05 18:03:59.666397;2010-11-05 18:10:05.930837;meal_preparation
2010-11-05 18:10:05.930838;2010-11-05 18:29:42.865139;relax
2010-11-05 18:29:42.865138;2010-11-05 18:49:55.597569;relax
2010-11-05 18:49:55.597570;2010-11-05 18:55:21.858268;meal_preparation
2010-11-05 18:55:21.858268;2010-11-05 19:00:35.008886;meal_preparation
2010-11-05 19:00:35.008885;2010-11-05 19:23:46.268495;relax
2010-11-05 19:23:46.268495;2010-11-05 19:49:30.586464;relax
2010-11-05 19:49:30.586464;2010-11-05 20:05:25.916671;eating
2010-11-05 20:05:25.916671;2010-11-05 20:08:28.588415;meal_preparation
2010-11-05 20:08:28.588415;2010-11-05 20:11:31.260159;meal_preparation
2010-11-05 20:11:31.260160;2010-11-05 20:14:22.670610;meal_preparation
2010-11-05 20:14:22.670610;2010-11-05 20:47:44.404500;relax
2010-11-05 20:47:44.404500;2010-11-05 21:25:51.162469;relax
2010-11-05 21:25:51.162469;2010-11-05 22:07:00.245306;relax
2010-11-05 22:07:00.245305;2010-11-06 04:39:46.103075;sleeping
2010-11-06 04:39:46.103076;2010-11-06 04:43:21.356069;meal_preparation
2010-11-06 04:43:21.356069;2010-11-06 04:46:21.183320;bed_to_toilet
2010-11-06 04:46:21.183320;2010-11-06 07:34:29.603194;sleeping
2010-11-06 07:34:29.603193;2010-11-06 07:38:40.700561;meal_preparation
2010-11-06 07:38:40.700561;2010-11-06 07:38:45.376673;enter_home
2010-11-06 07:38:45.376674;2010-11-06 07:42:58.683251;meal_preparation
2010-11-06 07:42:58.683251;2010-11-06 07:43:08.174976;leave_home
2010-11-06 07:43:08.174976;2010-11-06 07:47:23.667849;meal_preparation
2010-11-06 07:47:23.667849;2010-11-06 07:47:33.187308;leave_home
2010-11-06 07:47:33.187308;2010-11-06 07:51:50.835093;meal_preparation
2010-11-06 07:51:50.835094;2010-11-06 08:05:49.839765;work
2010-11-06 08:05:49.839765;2010-11-06 08:10:15.640730;meal_preparation
2010-11-06 08:10:15.640730;2010-11-06 08:10:25.168311;leave_home
2010-11-06 08:10:25.168311;2010-11-06 08:10:34.695892;leave_home
2010-11-06 08:10:34.695892;2010-11-06 08:10:44.223473;leave_home
2010-11-06 08:10:44.223473;2010-11-06 08:15:11.912895;meal_preparation
2010-11-06 08:15:11.912895;2010-11-06 08:19:41.419771;meal_preparation
2010-11-06 08:19:41.419771;2010-11-06 08:27:55.733026;relax
2010-11-06 08:27:55.733026;2010-11-06 08:32:28.645226;meal_preparation
2010-11-06 08:32:28.645226;2010-11-06 08:44:19.314200;work
2010-11-06 08:44:19.314200;2010-11-06 08:53:48.486061;relax
2010-11-06 08:53:48.486061;2010-11-06 09:03:49.832698;relax
2010-11-06 09:03:49.832698;2010-11-06 09:08:32.033219;meal_preparation
2010-11-06 09:08:32.033219;2010-11-06 09:19:20.219560;relax
2010-11-06 09:19:20.219560;2010-11-06 09:30:37.156639;relax
2010-11-06 09:30:37.156638;2010-11-06 09:37:35.262468;eating
2010-11-06 09:37:35.262469;2010-11-06 09:37:43.785942;leave_home
2010-11-06 09:37:43.785942;2010-11-06 09:42:31.442718;meal_preparation
2010-11-06 09:42:31.442717;2010-11-06 09:47:19.640633;meal_preparation
2010-11-06 09:47:19.640634;2010-11-06 09:59:42.454903;relax
2010-11-06 09:59:42.454902;2010-11-06 10:13:34.317476;work
2010-11-06 10:13:34.317476;2010-11-06 10:20:02.002217;wash_dishes
2010-11-06 10:20:02.002217;2010-11-06 10:20:09.969464;leave_home
2010-11-06 10:20:09.969464;2010-11-06 10:25:01.547731;meal_preparation
2010-11-06 10:25:01.547731;2010-11-06 10:25:09.468113;leave_home
2010-11-06 10:25:09.468113;2010-11-06 10:38:01.844084;relax
2010-11-06 10:38:01.844084;2010-11-06 10:42:54.716824;meal_preparation
2010-11-06 10:42:54.716824;2010-11-06 10:52:36.005425;eating
2010-11-06 10:52:36.005425;2010-11-06 11:15:44.993315;housekeeping
2010-11-06 11:15:44.993315;2010-11-06 11:15:49.064795;enter_home
2010-11-06 11:15:49.064795;2010-11-06 11:28:16.839126;relax
2010-11-06 11:28:16.839126;2010-11-06 11:28:20.941071;enter_home
2010-11-06 11:28:20.941071;2010-11-06 11:33:21.065022;meal_preparation
2010-11-06 11:33:21.065022;2010-11-06 11:45:42.377799;relax
2010-11-06 11:45:42.377799;2010-11-06 11:58:03.487156;relax
2010-11-06 11:58:03.487156;2010-11-06 12:10:29.360532;relax
2010-11-06 12:10:29.360533;2010-11-06 12:15:42.085499;meal_preparation
2010-11-06 12:15:42.085498;2010-11-06 12:20:56.597762;meal_preparation
2010-11-06 12:20:56.597762;2010-11-06 12:26:12.970372;meal_preparation
2010-11-06 12:26:12.970372;2010-11-06 12:39:23.435302;relax
2010-11-06 12:39:23.435302;2010-11-06 12:52:59.962840;relax
2010-11-06 12:52:59.962840;2010-11-06 12:53:04.086338;enter_home
2010-11-06 12:53:04.086338;2010-11-06 12:53:11.007846;leave_home
2010-11-06 12:53:11.007846;2010-11-06 12:58:39.942568;meal_preparation
2010-11-06 12:58:39.942568;2010-11-06 13:13:25.243488;relax
2010-11-06 13:13:25.243488;2010-11-06 13:29:15.049710;relax
2010-11-06 13:29:15.049710;2010-11-06 13:55:43.208984;work
2010-11-06 13:55:43.208984;2010-11-06 14:01:45.249566;meal_preparation
2010-11-06 14:01:45.249566;2010-11-06 14:01:49.913240;enter_home
2010-11-06 14:01:49.913241;2010-11-06 14:21:56.048151;relax
2010-11-06 14:21:56.048150;2010-11-06 14:28:12.044577;meal_preparation
2010-11-06 14:28:12.044577;2010-11-06 14:55:58.995255;work
2010-11-06 14:55:58.995255;2010-11-06 15:19:47.172869;relax
2010-11-06 15:19:47.172869;2010-11-06 15:19:53.166193;enter_home
2010-11-06 15:19:53.166193;2010-11-06 15:26:40.810857;meal_preparation
