date;end_date;label
2010-11-05 00:00:00.000000;2010-11-05 00:15:25.016526;relax
2010-11-05 00:15:25.016526;2010-11-05 05:52:28.902454;sleeping
2010-11-05 05:52:28.902455;2010-11-05 05:58:29.304946;relax
2010-11-05 05:58:29.304946;2010-11-05 06:00:14.443775;sleeping
2010-11-05 06:00:14.443775;2010-11-05 06:20:43.759298;meal_preparation
2010-11-05 06:20:43.759297;2010-11-05 06:43:45.603091;relax
2010-11-05 06:43:45.603092;2010-11-05 06:52:16.485693;meal_preparation
2010-11-05 06:52:16.485693;2010-11-05 06:54:11.103537;meal_preparation
2010-11-05 06:54:11.103537;2010-11-05 07:01:06.731611;relax
2010-11-05 07:01:06.731610;2010-11-05 07:21:43.630107;relax
2010-11-05 07:21:43.630108;2010-11-05 07:28:17.188479;meal_preparation
2010-11-05 07:28:17.188479;2010-11-05 07:37:09.712342;meal_preparation
2010-11-05 07:37:09.712342;2010-11-05 07:41:47.459014;meal_preparation
2010-11-05 07:41:47.459014;2010-11-05 08:05:34.776916;relax
2010-11-05 08:05:34.776916;2010-11-05 08:20:43.272819;meal_preparation
2010-11-05 08:20:43.272819;2010-11-05 08:30:55.484470;meal_preparation
2010-11-05 08:30:55.484470;2010-11-05 08:55:50.463001;work
2010-11-05 08:55:50.463000;2010-11-05 09:42:57.832402;work
2010-11-05 09:42:57.832402;2010-11-05 09:47:00.863366;eating
2010-11-05 09:47:00.863367;2010-11-05 09:47:27.989238;enter_home
2010-11-05 09:47:27.989238;2010-11-05 09:56:08.067348;meal_preparation
2010-11-05 09:56:08.067348;2010-11-05 10:53:25.243173;relax
2010-11-05 10:53:25.243173;2010-11-05 10:53:25.960455;leave_home
2010-11-05 10:53:25.960455;2010-11-05 10:56:59.181806;relax
2010-11-05 10:56:59.181806;2010-11-05 10:57:02.065536;leave_home
2010-11-05 10:57:02.065537;2010-11-05 10:57:05.572862;enter_home
2010-11-05 10:57:05.572862;2010-11-05 10:57:08.979064;relax
2010-11-05 10:57:08.979064;2010-11-05 11:27:14.296085;relax
2010-11-05 11:27:14.296085;2010-11-05 11:27:17.315962;leave_home
2010-11-05 11:27:17.315962;2010-11-05 11:27:23.178645;leave_home
2010-11-05 11:27:23.178645;2010-11-05 11:27:28.338517;leave_home
2010-11-05 11:27:28.338517;2010-11-05 11:27:34.286640;leave_home
2010-11-05 11:27:34.286641;2010-11-05 11:27:40.581332;leave_home
2010-11-05 11:27:40.581331;2010-11-05 11:27:46.048801;leave_home
2010-11-05 11:27:46.048802;2010-11-05 11:27:50.893996;leave_home
2010-11-05 11:27:50.893996;2010-11-05 11:27:54.561292;leave_home
2010-11-05 11:27:54.561292;2010-11-05 11:42:18.186043;meal_preparation
2010-11-05 11:42:18.186043;2010-11-05 11:42:24.903970;leave_home
2010-11-05 11:42:24.903970;2010-11-05 11:48:46.122812;meal_preparation
2010-11-05 11:48:46.122811;2010-11-05 11:55:47.956950;meal_preparation
2010-11-05 11:55:47.956950;2010-11-05 12:10:31.624489;relax
2010-11-05 12:10:31.624489;2010-11-05 13:16:18.871574;relax
2010-11-05 13:16:18.871574;2010-11-05 13:16:23.743698;enter_home
2010-11-05 13:16:23.743698;2010-11-05 14:50:31.475594;relax
2010-11-05 14:50:31.475594;2010-11-05 15:02:32.233077;meal_preparation
2010-11-05 15:02:32.233077;2010-11-05 15:02:37.185948;enter_home
2010-11-05 15:02:37.185948;2010-11-05 16:23:52.353946;relax
2010-11-05 16:23:52.353946;2010-11-05 17:56:17.279981;relax
2010-11-05 17:56:17.279981;2010-11-05 18:10:50.673300;relax
2010-11-05 18:10:50.673300;2010-11-05 18:23:40.249016;relax
2010-11-05 18:23:40.249017;2010-11-05 19:26:19.008277;relax
2010-11-05 19:26:19.008277;2010-11-05 19:30:40.276012;relax
2010-11-05 19:30:40.276012;2010-11-05 19:56:26.726127;relax
2010-11-05 19:56:26.726127;2010-11-05 21:22:22.729510;relax
2010-11-05 21:22:22.729510;2010-11-05 21:55:19.413511;relax
2010-11-05 21:55:19.413512;2010-11-05 22:21:15.619235;relax
2010-11-05 22:21:15.619235;2010-11-05 23:05:36.306616;relax
2010-11-05 23:05:36.306615;2010-11-05 23:34:04.890142;relax
2010-11-05 23:34:04.890142;2010-11-06 01:17:27.456747;relax
2010-11-06 01:17:27.456748;2010-11-06 05:42:54.749645;sleeping
2010-11-06 05:42:54.749645;2010-11-06 07:28:40.694649;sleeping
2010-11-06 07:28:40.694648;2010-11-06 07:55:39.559429;meal_preparation
2010-11-06 07:55:39.559429;2010-11-06 07:56:07.927013;enter_home
2010-11-06 07:56:07.927013;2010-11-06 08:23:22.108037;relax
2010-11-06 08:23:22.108037;2010-11-06 08:23:45.012304;meal_preparation
2010-11-06 08:23:45.012304;2010-11-06 08:55:55.613413;relax
2010-11-06 08:55:55.613413;2010-11-06 08:58:43.466656;relax
2010-11-06 08:58:43.466656;2010-11-06 09:28:55.856649;relax
2010-11-06 09:28:55.856648;2010-11-06 09:48:36.049485;relax
2010-11-06 09:48:36.049486;2010-11-06 09:48:41.698496;leave_home
2010-11-06 09:48:41.698496;2010-11-06 09:49:48.731240;work
2010-11-06 09:49:48.731240;2010-11-06 09:49:56.532823;enter_home
2010-11-06 09:49:56.532823;2010-11-06 09:58:08.365757;meal_preparation
2010-11-06 09:58:08.365757;2010-11-06 10:05:59.425862;meal_preparation
2010-11-06 10:05:59.425862;2010-11-06 10:06:11.265158;leave_home
2010-11-06 10:06:11.265157;2010-11-06 10:08:45.425502;relax
2010-11-06 10:08:45.425503;2010-11-06 10:22:29.184768;relax
2010-11-06 10:22:29.184768;2010-11-06 10:25:36.803566;meal_preparation
2010-11-06 10:25:36.803566;2010-11-06 10:28:46.298335;meal_preparation
2010-11-06 10:28:46.298335;2010-11-06 10:29:35.446521;meal_preparation
2010-11-06 10:29:35.446522;2010-11-06 10:29:43.265758;leave_home
2010-11-06 10:29:43.265757;2010-11-06 11:06:34.222014;relax
2010-11-06 11:06:34.222015;2010-11-06 11:06:35.295276;leave_home
2010-11-06 11:06:35.295275;2010-11-06 11:12:23.284829;wash_dishes
2010-11-06 11:12:23.284830;2010-11-06 11:30:23.617654;relax
2010-11-06 11:30:23.617654;2010-11-06 11:30:28.401207;leave_home
2010-11-06 11:30:28.401206;2010-11-06 12:02:58.702741;relax
2010-11-06 12:02:58.702741;2010-11-06 12:18:54.385393;eating
2010-11-06 12:18:54.385393;2010-11-06 12:24:09.833507;meal_preparation
