date;end_date;label
2010-11-08 00:00:00.000000;2010-11-08 00:17:15.005829;relax
2010-11-08 00:17:15.005829;2010-11-08 02:57:27.488235;sleeping
2010-11-08 02:57:27.488235;2010-11-08 03:00:31.846616;bed_to_toilet
2010-11-08 03:00:31.846616;2010-11-08 05:50:38.725278;sleeping
2010-11-08 05:55:38.725278;2010-11-08 06:00:27.478879;meal_preparation
2010-11-08 06:00:27.478879;2010-11-08 06:05:28.115916;meal_preparation
2010-11-08 06:10:28.115916;2010-11-08 06:24:45.888791;relax
2010-11-08 06:34:45.888791;2010-11-08 06:42:59.765445;meal_preparation
2010-11-08 06:42:59.765445;2010-11-08 06:45:26.306447;meal_preparation
2010-11-08 06:45:26.306447;2010-11-08 06:46:57.764436;meal_preparation
2010-11-08 06:46:57.764436;2010-11-08 06:48:29.222425;meal_preparation
2010-11-08 06:48:29.222425;2010-11-08 06:50:00.680414;meal_preparation
2010-11-08 06:50:00.680414;2010-11-08 07:17:57.557383;relax
2010-11-08 07:17:57.557383;2010-11-08 07:43:54.627588;relax
2010-11-08 07:43:54.627588;2010-11-08 07:49:16.080277;meal_preparation
2010-11-08 07:49:16.080277;2010-11-08 08:19:53.064864;relax
2010-11-08 08:19:53.064864;2010-11-08 08:42:35.897998;relax
2010-11-08 08:42:35.897998;2010-11-08 08:58:34.721641;relax
2010-11-08 08:58:34.721640;2010-11-08 09:26:35.939357;meal_preparation
2010-11-08 09:26:35.939358;2010-11-08 09:35:51.439226;meal_preparation
2010-11-08 09:35:51.439226;2010-11-08 09:47:11.863283;meal_preparation
2010-11-08 09:47:11.863282;2010-11-08 09:51:43.511961;relax
2010-11-08 09:51:43.511961;2010-11-08 09:54:33.943882;eating
2010-11-08 09:54:33.943882;2010-11-08 09:59:54.187952;relax
2010-11-08 09:59:54.187952;2010-11-08 10:09:49.955007;eating
2010-11-08 10:09:49.955007;2010-11-08 10:11:21.636556;meal_preparation
2010-11-08 10:11:21.636556;2010-11-08 10:15:49.235821;eating
2010-11-08 10:15:49.235821;2010-11-08 10:22:26.794770;meal_preparation
2010-11-08 10:22:26.794770;2010-11-08 10:32:06.006840;eating
2010-11-08 10:32:06.006840;2010-11-08 10:32:10.545834;leave_home
2010-11-08 10:32:10.545834;2010-11-08 10:32:15.049052;enter_home
2010-11-08 10:32:15.049052;2010-11-08 10:57:16.436487;relax
2010-11-08 10:57:16.436487;2010-11-08 10:57:23.532658;leave_home
2010-11-08 10:57:23.532657;2010-11-08 11:03:17.983664;eating
2010-11-08 11:03:17.983664;2010-11-08 11:09:56.655484;wash_dishes
2010-11-08 11:09:56.655484;2010-11-08 12:07:15.682273;relax
2010-11-08 12:07:15.682273;2010-11-08 12:21:56.528565;relax
2010-11-08 12:21:56.528565;2010-11-08 12:34:20.441970;relax
2010-11-08 12:34:20.441971;2010-11-08 13:04:32.380023;relax
2010-11-08 13:04:32.380023;2010-11-08 13:23:57.797209;relax
2010-11-08 13:28:57.797210;2010-11-08 13:29:01.920130;leave_home
2010-11-08 13:29:01.920130;2010-11-08 13:29:05.904673;enter_home
2010-11-08 13:29:05.904673;2010-11-08 13:29:10.024203;leave_home
2010-11-08 13:29:10.024203;2010-11-08 13:29:14.144449;leave_home
2010-11-08 13:29:14.144449;2010-11-08 13:45:24.173025;relax
2010-11-08 13:45:24.173024;2010-11-08 13:45:30.341307;leave_home
2010-11-08 13:45:30.341307;2010-11-08 14:51:42.637766;relax
2010-11-08 14:51:42.637766;2010-11-08 14:59:23.811390;meal_preparation
2010-11-08 14:59:23.811390;2010-11-08 14:59:28.121666;leave_home
2010-11-08 14:59:28.121666;2010-11-08 15:07:58.670219;relax
2010-11-08 15:07:58.670219;2010-11-08 15:08:03.655067;enter_home
2010-11-08 15:08:03.655067;2010-11-08 15:08:08.303902;leave_home
2010-11-08 15:08:08.303902;2010-11-08 15:21:55.283323;relax
2010-11-08 15:21:55.283323;2010-11-08 16:09:43.185299;relax
2010-11-08 16:09:43.185299;2010-11-08 16:13:49.528077;meal_preparation
2010-11-08 16:13:49.528078;2010-11-08 16:37:53.361763;relax
2010-11-08 16:37:53.361763;2010-11-08 17:55:02.498907;relax
2010-11-08 17:55:02.498907;2010-11-08 18:15:24.889281;relax
2010-11-08 18:15:24.889281;2010-11-08 18:19:32.719177;meal_preparation
2010-11-08 18:19:32.719177;2010-11-08 18:21:19.897387;wash_dishes
