date;end_date;label
2010-11-05 00:00:00.000000;2010-11-05 06:10:26.035125;sleeping
2010-11-05 06:10:26.035125;2010-11-05 06:16:10.516327;meal_preparation
2010-11-05 06:16:10.516327;2010-11-05 06:55:06.077671;sleeping
2010-11-05 06:55:06.077670;2010-11-05 07:19:44.675046;meal_preparation
2010-11-05 07:19:44.675047;2010-11-05 07:19:46.363048;meal_preparation
2010-11-05 07:19:46.363047;2010-11-05 07:42:35.542687;relax
2010-11-05 07:42:35.542688;2010-11-05 07:48:22.552276;meal_preparation
2010-11-05 07:48:22.552276;2010-11-05 08:05:51.867749;relax
2010-11-05 08:05:51.867749;2010-11-05 08:18:15.196494;meal_preparation
2010-11-05 08:18:15.196494;2010-11-05 08:31:40.411415;meal_preparation
2010-11-05 08:31:40.411415;2010-11-05 08:31:47.092800;enter_home
2010-11-05 08:31:47.092800;2010-11-05 08:34:50.003970;meal_preparation
2010-11-05 08:34:50.003970;2010-11-05 09:04:33.687963;work
2010-11-05 09:04:33.687963;2010-11-05 09:06:14.082442;meal_preparation
2010-11-05 09:06:14.082442;2010-11-05 09:18:01.958157;meal_preparation
2010-11-05 09:18:01.958157;2010-11-05 10:10:04.477740;relax
2010-11-05 10:10:04.477740;2010-11-05 10:27:48.572171;relax
2010-11-05 10:27:48.572171;2010-11-05 11:33:10.532180;housekeeping
2010-11-05 11:33:10.532180;2010-11-05 11:41:28.178683;housekeeping
2010-11-05 11:41:28.178683;2010-11-05 12:01:45.948466;relax
2010-11-05 12:01:45.948466;2010-11-05 12:27:48.800162;relax
2010-11-05 12:27:48.800162;2010-11-05 12:34:41.005132;eating
2010-11-05 12:34:41.005132;2010-11-05 13:25:35.575576;relax
2010-11-05 13:25:35.575576;2010-11-05 14:44:59.418565;relax
2010-11-05 14:44:59.418565;2010-11-05 14:45:15.466845;enter_home
2010-11-05 14:45:15.466845;2010-11-05 14:51:42.034706;meal_preparation
2010-11-05 14:51:42.034707;2010-11-05 14:51:52.737503;enter_home
2010-11-05 14:51:52.737503;2010-11-05 15:10:00.658928;work
2010-11-05 15:10:00.658928;2010-11-05 15:10:05.939011;leave_home
2010-11-05 15:10:05.939011;2010-11-05 15:10:15.067931;leave_home
2010-11-05 15:10:15.067931;2010-11-05 15:10:17.340433;leave_home
2010-11-05 15:10:17.340433;2010-11-05 20:00:00.622245;sleeping
2010-11-05 20:00:00.622245;2010-11-05 21:10:03.695275;relax
2010-11-05 21:10:03.695274;2010-11-05 21:13:28.841627;wash_dishes
2010-11-05 21:13:28.841627;2010-11-05 21:38:35.698017;relax
2010-11-05 21:38:35.698017;2010-11-05 21:41:23.215873;meal_preparation
2010-11-05 21:41:23.215873;2010-11-06 02:24:54.777747;sleeping
2010-11-06 02:24:54.777747;2010-11-06 02:40:38.074283;meal_preparation
2010-11-06 02:40:38.074283;2010-11-06 02:42:23.300681;bed_to_toilet
2010-11-06 02:42:23.300681;2010-11-06 04:24:26.966744;sleeping
2010-11-06 04:24:26.966744;2010-11-06 04:29:48.695301;bed_to_toilet
2010-11-06 04:29:48.695300;2010-11-06 04:32:35.118623;bed_to_toilet
2010-11-06 04:32:35.118624;2010-11-06 04:56:47.065131;relax
2010-11-06 04:56:47.065131;2010-11-06 05:02:44.074407;meal_preparation
2010-11-06 05:02:44.074406;2010-11-06 05:10:05.338591;meal_preparation
2010-11-06 05:10:05.338592;2010-11-06 05:13:33.335806;bed_to_toilet
2010-11-06 05:13:33.335806;2010-11-06 05:44:16.775036;relax
2010-11-06 05:44:16.775035;2010-11-06 07:53:34.051652;sleeping
2010-11-06 07:53:34.051653;2010-11-06 08:01:12.820516;meal_preparation
2010-11-06 08:01:12.820516;2010-11-06 08:01:18.831091;leave_home
2010-11-06 08:01:18.831091;2010-11-06 08:12:44.733846;meal_preparation
2010-11-06 08:12:44.733846;2010-11-06 08:15:22.999646;meal_preparation
2010-11-06 08:15:22.999647;2010-11-06 08:38:05.173897;relax
2010-11-06 08:38:05.173897;2010-11-06 08:43:51.294610;meal_preparation
2010-11-06 08:43:51.294610;2010-11-06 09:13:00.720786;relax
2010-11-06 09:13:00.720785;2010-11-06 09:17:55.360264;wash_dishes
2010-11-06 09:17:55.360265;2010-11-06 09:39:14.142872;relax
2010-11-06 09:39:14.142872;2010-11-06 09:42:36.756881;meal_preparation
2010-11-06 09:42:36.756881;2010-11-06 10:29:38.657977;relax
2010-11-06 10:29:38.657976;2010-11-06 10:29:42.252097;enter_home
2010-11-06 10:29:42.252098;2010-11-06 10:35:02.602482;meal_preparation
2010-11-06 10:35:02.602482;2010-11-06 10:58:49.462803;work
2010-11-06 10:58:49.462803;2010-11-06 11:11:29.958804;relax
2010-11-06 11:11:29.958804;2010-11-06 11:21:34.632213;meal_preparation
2010-11-06 11:21:34.632213;2010-11-06 11:21:37.295789;leave_home
2010-11-06 11:21:37.295789;2010-11-06 11:22:39.677990;meal_preparation
2010-11-06 11:22:39.677990;2010-11-06 12:00:32.050486;work
2010-11-06 12:00:32.050486;2010-11-06 12:30:58.367177;relax
2010-11-06 12:30:58.367176;2010-11-06 12:35:01.993001;work
2010-11-06 12:35:01.993001;2010-11-06 12:35:20.349719;enter_home
2010-11-06 12:35:20.349719;2010-11-06 12:56:08.169966;relax
2010-11-06 12:56:08.169966;2010-11-06 13:00:15.316754;meal_preparation
2010-11-06 13:00:15.316754;2010-11-06 13:00:20.248435;enter_home
2010-11-06 13:00:20.248435;2010-11-06 13:00:29.142674;enter_home
2010-11-06 13:00:29.142675;2010-11-06 13:32:39.420630;relax
2010-11-06 13:32:39.420629;2010-11-06 13:52:09.714684;meal_preparation
2010-11-06 13:52:09.714684;2010-11-06 14:00:12.504274;eating
2010-11-06 14:00:12.504274;2010-11-06 14:49:10.561521;relax
2010-11-06 14:49:10.561521;2010-11-06 15:29:52.050895;relax
