date;end_date;label
2010-11-05 00:00:00.000000;2010-11-05 01:28:57.182883;relax
2010-11-05 01:28:57.182883;2010-11-05 07:53:11.056368;sleeping
2010-11-05 07:53:11.056368;2010-11-05 08:13:59.087242;relax
2010-11-05 08:13:59.087242;2010-11-05 08:19:21.170307;eating
2010-11-05 08:19:21.170307;2010-11-05 08:20:28.478480;meal_preparation
2010-11-05 08:20:28.478480;2010-11-05 08:40:33.360004;relax
2010-11-05 08:40:33.360004;2010-11-05 08:50:52.586065;relax
2010-11-05 08:50:52.586065;2010-11-05 08:58:48.919102;meal_preparation
2010-11-05 08:58:48.919102;2010-11-05 09:09:04.533976;meal_preparation
2010-11-05 09:09:04.533977;2010-11-05 09:37:34.647091;relax
2010-11-05 09:37:34.647091;2010-11-05 09:39:50.137065;meal_preparation
2010-11-05 09:39:50.137065;2010-11-05 10:12:14.722683;relax
2010-11-05 10:12:14.722683;2010-11-05 10:37:41.197326;relax
2010-11-05 10:37:41.197326;2010-11-05 10:56:02.783526;relax
2010-11-05 10:56:02.783526;2010-11-05 11:00:14.082655;meal_preparation
2010-11-05 11:00:14.082655;2010-11-05 11:08:32.323122;meal_preparation
2010-11-05 11:08:32.323122;2010-11-05 11:08:39.165323;enter_home
2010-11-05 11:08:39.165323;2010-11-05 11:08:43.696765;enter_home
2010-11-05 11:08:43.696765;2010-11-05 11:30:50.899255;relax
2010-11-05 11:30:50.899255;2010-11-05 11:30:57.333761;enter_home
2010-11-05 11:30:57.333761;2010-11-05 12:06:33.278473;relax
2010-11-05 12:06:33.278473;2010-11-05 12:22:03.574938;meal_preparation
2010-11-05 12:22:03.574937;2010-11-05 13:14:31.167808;relax
2010-11-05 13:14:31.167808;2010-11-05 13:26:15.907382;relax
2010-11-05 13:26:15.907382;2010-11-05 13:26:20.554587;leave_home
2010-11-05 13:26:20.554587;2010-11-05 14:34:36.463760;relax
2010-11-05 14:34:36.463760;2010-11-05 15:46:38.300334;relax
2010-11-05 15:46:38.300334;2010-11-05 15:55:27.223659;meal_preparation
2010-11-05 15:55:27.223660;2010-11-05 15:59:34.506168;meal_preparation
2010-11-05 15:59:34.506168;2010-11-05 16:44:37.000273;work
2010-11-05 16:44:37.000273;2010-11-05 18:11:11.024172;relax
2010-11-05 18:11:11.024172;2010-11-05 18:15:49.186038;meal_preparation
2010-11-05 18:15:49.186037;2010-11-05 18:33:10.015813;relax
2010-11-05 18:33:10.015813;2010-11-05 18:42:32.097648;meal_preparation
2010-11-05 18:42:32.097648;2010-11-05 18:51:28.193717;meal_preparation
2010-11-05 18:51:28.193717;2010-11-05 19:36:07.297261;relax
2010-11-05 19:36:07.297261;2010-11-05 20:20:41.851606;relax
2010-11-05 20:20:41.851606;2010-11-05 21:57:48.625197;relax
2010-11-05 21:57:48.625197;2010-11-06 02:56:11.360379;sleeping
2010-11-06 02:56:11.360379;2010-11-06 05:23:35.890164;sleeping
2010-11-06 05:23:35.890164;2010-11-06 05:32:21.623776;meal_preparation
2010-11-06 05:32:21.623776;2010-11-06 05:35:50.099519;bed_to_toilet
2010-11-06 05:35:50.099519;2010-11-06 07:47:34.521648;sleeping
2010-11-06 07:47:34.521648;2010-11-06 08:30:17.741683;relax
2010-11-06 08:30:17.741683;2010-11-06 08:44:25.276016;meal_preparation
2010-11-06 08:44:25.276016;2010-11-06 08:53:45.728705;relax
2010-11-06 08:53:45.728705;2010-11-06 09:13:57.662053;relax
2010-11-06 09:13:57.662052;2010-11-06 09:14:01.916295;enter_home
2010-11-06 09:14:01.916296;2010-11-06 09:39:07.377274;relax
2010-11-06 09:39:07.377273;2010-11-06 10:44:13.555627;relax
2010-11-06 10:44:13.555627;2010-11-06 10:44:15.846519;leave_home
2010-11-06 10:44:15.846519;2010-11-06 10:44:20.519732;enter_home
2010-11-06 10:44:20.519732;2010-11-06 10:44:24.414810;leave_home
2010-11-06 10:44:24.414810;2010-11-06 10:49:01.315700;meal_preparation
2010-11-06 10:49:01.315700;2010-11-06 10:49:21.485152;leave_home
2010-11-06 10:49:21.485152;2010-11-06 10:54:19.392835;meal_preparation
2010-11-06 10:54:19.392835;2010-11-06 10:58:42.013632;meal_preparation
2010-11-06 10:58:42.013632;2010-11-06 11:07:30.008990;work
2010-11-06 11:07:30.008990;2010-11-06 11:07:35.794807;enter_home
2010-11-06 11:07:35.794807;2010-11-06 11:58:15.631684;relax
2010-11-06 11:58:15.631684;2010-11-06 11:58:23.004924;leave_home
2010-11-06 11:58:23.004924;2010-11-06 12:23:33.470721;eating
